TIME,GEO,FORD,SEX,PROF_POS,SECTPERF,VALUE
2009,FR,TOTAL,T,TOTAL,TOTAL,478857
2010,FR,TOTAL,T,TOTAL,TOTAL,523648
2011,FR,TOTAL,T,TOTAL,TOTAL,542447
2012,FR,TOTAL,T,TOTAL,TOTAL,565912
2013,FR,TOTAL,T,TOTAL,TOTAL,575351
2014,FR,TOTAL,T,TOTAL,TOTAL,575830
2016,FR,TOTAL,T,TOTAL,TOTAL,599246
2017,FR,TOTAL,T,TOTAL,TOTAL,618612
2018,FR,TOTAL,T,TOTAL,TOTAL,630401
2020,FR,TOTAL,T,TOTAL,TOTAL,665614
2021,FR,TOTAL,T,TOTAL,TOTAL,671495
2022,FR,TOTAL,T,TOTAL,TOTAL,672526
2002,HR,TOTAL,T,TOTAL,TOTAL,16515
2003,HR,TOTAL,T,TOTAL,TOTAL,17216
2004,HR,TOTAL,T,TOTAL,TOTAL,19739
2005,HR,TOTAL,T,TOTAL,TOTAL,16027
2006,HR,TOTAL,T,TOTAL,TOTAL,16377
2007,HR,TOTAL,T,TOTAL,TOTAL,17058
2008,HR,TOTAL,T,TOTAL,TOTAL,17528
2009,HR,TOTAL,T,TOTAL,TOTAL,18102
2010,HR,TOTAL,T,TOTAL,TOTAL,18459
2011,HR,TOTAL,T,TOTAL,TOTAL,17258
2012,HR,TOTAL,T,TOTAL,TOTAL,16881
2013,HR,TOTAL,T,TOTAL,TOTAL,17003
2014,HR,TOTAL,T,TOTAL,TOTAL,16548
2015,HR,TOTAL,T,TOTAL,TOTAL,17358
2016,HR,TOTAL,T,TOTAL,TOTAL,18632
2017,HR,TOTAL,T,TOTAL,TOTAL,19609
2018,HR,TOTAL,T,TOTAL,TOTAL,21226
2019,HR,TOTAL,T,TOTAL,TOTAL,23859
2020,HR,TOTAL,T,TOTAL,TOTAL,25217
2021,HR,TOTAL,T,TOTAL,TOTAL,27424
2022,HR,TOTAL,T,TOTAL,TOTAL,28230
2000,IT,TOTAL,T,TOTAL,TOTAL,228702
2001,IT,TOTAL,T,TOTAL,TOTAL,236077
2002,IT,TOTAL,T,TOTAL,TOTAL,253084
2003,IT,TOTAL,T,TOTAL,TOTAL,249889
2004,IT,TOTAL,T,TOTAL,TOTAL,255535
2005,IT,TOTAL,T,TOTAL,TOTAL,277370
2006,IT,TOTAL,T,TOTAL,TOTAL,306088
2007,IT,TOTAL,T,TOTAL,TOTAL,334503
2008,IT,TOTAL,T,TOTAL,TOTAL,353267
2009,IT,TOTAL,T,TOTAL,TOTAL,354513
2010,IT,TOTAL,T,TOTAL,TOTAL,348215
2011,IT,TOTAL,T,TOTAL,TOTAL,347005
2012,IT,TOTAL,T,TOTAL,TOTAL,364315
2013,IT,TOTAL,T,TOTAL,TOTAL,372444
2014,IT,TOTAL,T,TOTAL,TOTAL,371117
2015,IT,TOTAL,T,TOTAL,TOTAL,389604
2016,IT,TOTAL,T,TOTAL,TOTAL,435283
2017,IT,TOTAL,T,TOTAL,TOTAL,482703
2018,IT,TOTAL,T,TOTAL,TOTAL,526620
2019,IT,TOTAL,T,TOTAL,TOTAL,544094
2020,IT,TOTAL,T,TOTAL,TOTAL,520750
2021,IT,TOTAL,T,TOTAL,TOTAL,500994
2022,IT,TOTAL,T,TOTAL,TOTAL,503029
2000,CY,TOTAL,T,TOTAL,TOTAL,1630
2001,CY,TOTAL,T,TOTAL,TOTAL,1733
2002,CY,TOTAL,T,TOTAL,TOTAL,1937
2003,CY,TOTAL,T,TOTAL,TOTAL,2102
2004,CY,TOTAL,T,TOTAL,TOTAL,2235
2005,CY,TOTAL,T,TOTAL,TOTAL,2470
2006,CY,TOTAL,T,TOTAL,TOTAL,2534
2007,CY,TOTAL,T,TOTAL,TOTAL,2495
2008,CY,TOTAL,T,TOTAL,TOTAL,2475
2009,CY,TOTAL,T,TOTAL,TOTAL,2591
2010,CY,TOTAL,T,TOTAL,TOTAL,2628
2011,CY,TOTAL,T,TOTAL,TOTAL,2793
2012,CY,TOTAL,T,TOTAL,TOTAL,2737
2013,CY,TOTAL,T,TOTAL,TOTAL,2997
2014,CY,TOTAL,T,TOTAL,TOTAL,2958
2015,CY,TOTAL,T,TOTAL,TOTAL,2921
2016,CY,TOTAL,T,TOTAL,TOTAL,3091
2017,CY,TOTAL,T,TOTAL,TOTAL,3320
2018,CY,TOTAL,T,TOTAL,TOTAL,3754
2019,CY,TOTAL,T,TOTAL,TOTAL,4082
2020,CY,TOTAL,T,TOTAL,TOTAL,4196
2021,CY,TOTAL,T,TOTAL,TOTAL,4209
2000,LV,TOTAL,T,TOTAL,TOTAL,8229
2001,LV,TOTAL,T,TOTAL,TOTAL,8414
2002,LV,TOTAL,T,TOTAL,TOTAL,9153
2003,LV,TOTAL,T,TOTAL,TOTAL,8002
2004,LV,TOTAL,T,TOTAL,TOTAL,8273
2005,LV,TOTAL,T,TOTAL,TOTAL,9488
2006,LV,TOTAL,T,TOTAL,TOTAL,10735
2007,LV,TOTAL,T,TOTAL,TOTAL,11076
2008,LV,TOTAL,T,TOTAL,TOTAL,10688
2009,LV,TOTAL,T,TOTAL,TOTAL,9155
2010,LV,TOTAL,T,TOTAL,TOTAL,9174
2011,LV,TOTAL,T,TOTAL,TOTAL,10108
2012,LV,TOTAL,T,TOTAL,TOTAL,10790
2013,LV,TOTAL,T,TOTAL,TOTAL,10326
2014,LV,TOTAL,T,TOTAL,TOTAL,11072
2015,LV,TOTAL,T,TOTAL,TOTAL,11283
2016,LV,TOTAL,T,TOTAL,TOTAL,11028
2017,LV,TOTAL,T,TOTAL,TOTAL,11293
2018,LV,TOTAL,T,TOTAL,TOTAL,12129
2019,LV,TOTAL,T,TOTAL,TOTAL,12550
2020,LV,TOTAL,T,TOTAL,TOTAL,13552
2021,LV,TOTAL,T,TOTAL,TOTAL,13896
2022,LV,TOTAL,T,TOTAL,TOTAL,14357
2000,LT,TOTAL,T,TOTAL,TOTAL,14592
2001,LT,TOTAL,T,TOTAL,TOTAL,14980
2002,LT,TOTAL,T,TOTAL,TOTAL,13540
2003,LT,TOTAL,T,TOTAL,TOTAL,14534
2004,LT,TOTAL,T,TOTAL,TOTAL,16436
2005,LT,TOTAL,T,TOTAL,TOTAL,16323
2006,LT,TOTAL,T,TOTAL,TOTAL,16379
2007,LT,TOTAL,T,TOTAL,TOTAL,18467
2008,LT,TOTAL,T,TOTAL,TOTAL,18598
2009,LT,TOTAL,T,TOTAL,TOTAL,18483
2010,LT,TOTAL,T,TOTAL,TOTAL,18913
2011,LT,TOTAL,T,TOTAL,TOTAL,22391
2012,LT,TOTAL,T,TOTAL,TOTAL,22103
2013,LT,TOTAL,T,TOTAL,TOTAL,22751
2014,LT,TOTAL,T,TOTAL,TOTAL,24470
2015,LT,TOTAL,T,TOTAL,TOTAL,21739
2016,LT,TOTAL,T,TOTAL,TOTAL,22355
2017,LT,TOTAL,T,TOTAL,TOTAL,23773
2018,LT,TOTAL,T,TOTAL,TOTAL,24591
2019,LT,TOTAL,T,TOTAL,TOTAL,24699
2020,LT,TOTAL,T,TOTAL,TOTAL,26199
2021,LT,TOTAL,T,TOTAL,TOTAL,26131
2022,LT,TOTAL,T,TOTAL,TOTAL,26533
2003,LU,TOTAL,T,TOTAL,TOTAL,4135
2005,LU,TOTAL,T,TOTAL,TOTAL,5015
2007,LU,TOTAL,T,TOTAL,TOTAL,5551
2009,LU,TOTAL,T,TOTAL,TOTAL,5749
2011,LU,TOTAL,T,TOTAL,TOTAL,6070
2013,LU,TOTAL,T,TOTAL,TOTAL,5740
2014,LU,TOTAL,T,TOTAL,TOTAL,2652
2015,LU,TOTAL,T,TOTAL,TOTAL,6532
2017,LU,TOTAL,T,TOTAL,TOTAL,6856
2019,LU,TOTAL,T,TOTAL,TOTAL,7062
2021,LU,TOTAL,T,TOTAL,TOTAL,6914
2000,HU,TOTAL,T,TOTAL,TOTAL,45325
2001,HU,TOTAL,T,TOTAL,TOTAL,45676
2002,HU,TOTAL,T,TOTAL,TOTAL,48727
2003,HU,TOTAL,T,TOTAL,TOTAL,48681
2004,HU,TOTAL,T,TOTAL,TOTAL,49615
2005,HU,TOTAL,T,TOTAL,TOTAL,49723
2006,HU,TOTAL,T,TOTAL,TOTAL,50411
2007,HU,TOTAL,T,TOTAL,TOTAL,49485
2008,HU,TOTAL,T,TOTAL,TOTAL,50279
2009,HU,TOTAL,T,TOTAL,TOTAL,52522
2010,HU,TOTAL,T,TOTAL,TOTAL,53991
2011,HU,TOTAL,T,TOTAL,TOTAL,55386
2012,HU,TOTAL,T,TOTAL,TOTAL,56486
2013,HU,TOTAL,T,TOTAL,TOTAL,58237
2014,HU,TOTAL,T,TOTAL,TOTAL,57185
2015,HU,TOTAL,T,TOTAL,TOTAL,56235
2016,HU,TOTAL,T,TOTAL,TOTAL,54636
2017,HU,TOTAL,T,TOTAL,TOTAL,60932
2018,HU,TOTAL,T,TOTAL,TOTAL,79387
2019,HU,TOTAL,T,TOTAL,TOTAL,84651
2020,HU,TOTAL,T,TOTAL,TOTAL,87433
2021,HU,TOTAL,T,TOTAL,TOTAL,90880
2022,HU,TOTAL,T,TOTAL,TOTAL,94948
2002,MT,TOTAL,T,TOTAL,TOTAL,1121
2003,MT,TOTAL,T,TOTAL,TOTAL,975
2004,MT,TOTAL,T,TOTAL,TOTAL,1329
2005,MT,TOTAL,T,TOTAL,TOTAL,1492
2006,MT,TOTAL,T,TOTAL,TOTAL,1580
2007,MT,TOTAL,T,TOTAL,TOTAL,1550
2008,MT,TOTAL,T,TOTAL,TOTAL,1690
2009,MT,TOTAL,T,TOTAL,TOTAL,1567
2010,MT,TOTAL,T,TOTAL,TOTAL,1807
2011,MT,TOTAL,T,TOTAL,TOTAL,2133
2012,MT,TOTAL,T,TOTAL,TOTAL,2314
2013,MT,TOTAL,T,TOTAL,TOTAL,2230
2014,MT,TOTAL,T,TOTAL,TOTAL,2311
2015,MT,TOTAL,T,TOTAL,TOTAL,2375
2016,MT,TOTAL,T,TOTAL,TOTAL,2408
2017,MT,TOTAL,T,TOTAL,TOTAL,2479
2018,MT,TOTAL,T,TOTAL,TOTAL,2502
2019,MT,TOTAL,T,TOTAL,TOTAL,2570
2020,MT,TOTAL,T,TOTAL,TOTAL,2868
2021,MT,TOTAL,T,TOTAL,TOTAL,3087
2022,MT,TOTAL,T,TOTAL,TOTAL,3419
2000,NL,TOTAL,T,TOTAL,TOTAL,114719
2001,NL,TOTAL,T,TOTAL,TOTAL,114106
2002,NL,TOTAL,T,TOTAL,TOTAL,114259
2003,NL,TOTAL,T,TOTAL,TOTAL,112027
2004,NL,TOTAL,T,TOTAL,TOTAL,122801
2005,NL,TOTAL,T,TOTAL,TOTAL,116982
2006,NL,TOTAL,T,TOTAL,TOTAL,121531
2007,NL,TOTAL,T,TOTAL,TOTAL,113723
2008,NL,TOTAL,T,TOTAL,TOTAL,117372
2009,NL,TOTAL,T,TOTAL,TOTAL,105217
2010,NL,TOTAL,T,TOTAL,TOTAL,127154
2011,NL,TOTAL,T,TOTAL,TOTAL,172105
2012,NL,TOTAL,T,TOTAL,TOTAL,185059
2013,NL,TOTAL,T,TOTAL,TOTAL,195127
2014,NL,TOTAL,T,TOTAL,TOTAL,194942
2015,NL,TOTAL,T,TOTAL,TOTAL,202501
2016,NL,TOTAL,T,TOTAL,TOTAL,207471
2017,NL,TOTAL,T,TOTAL,TOTAL,209488
2018,NL,TOTAL,T,TOTAL,TOTAL,216994
2019,NL,TOTAL,T,TOTAL,TOTAL,226732
2020,NL,TOTAL,T,TOTAL,TOTAL,231570
2021,NL,TOTAL,T,TOTAL,TOTAL,238985
2022,NL,TOTAL,T,TOTAL,TOTAL,251211
2002,AT,TOTAL,T,TOTAL,TOTAL,65725
2004,AT,TOTAL,T,TOTAL,TOTAL,74191
2006,AT,TOTAL,T,TOTAL,TOTAL,83966
2007,AT,TOTAL,T,TOTAL,TOTAL,89458
2009,AT,TOTAL,T,TOTAL,TOTAL,96502
2011,AT,TOTAL,T,TOTAL,TOTAL,107949
2013,AT,TOTAL,T,TOTAL,TOTAL,117043
2015,AT,TOTAL,T,TOTAL,TOTAL,126171
2017,AT,TOTAL,T,TOTAL,TOTAL,131032
2019,AT,TOTAL,T,TOTAL,TOTAL,144117
2021,AT,TOTAL,T,TOTAL,TOTAL,147072
2000,PL,TOTAL,T,TOTAL,TOTAL,125614
2001,PL,TOTAL,T,TOTAL,TOTAL,123840
2002,PL,TOTAL,T,TOTAL,TOTAL,122987
2003,PL,TOTAL,T,TOTAL,TOTAL,126241
2004,PL,TOTAL,T,TOTAL,TOTAL,127356
2005,PL,TOTAL,T,TOTAL,TOTAL,123431
2006,PL,TOTAL,T,TOTAL,TOTAL,121283
2007,PL,TOTAL,T,TOTAL,TOTAL,121623
2008,PL,TOTAL,T,TOTAL,TOTAL,119682
2009,PL,TOTAL,T,TOTAL,TOTAL,120923
2010,PL,TOTAL,T,TOTAL,TOTAL,129792
2011,PL,TOTAL,T,TOTAL,TOTAL,134551
2012,PL,TOTAL,T,TOTAL,TOTAL,139653
2013,PL,TOTAL,T,TOTAL,TOTAL,145635
2014,PL,TOTAL,T,TOTAL,TOTAL,153475
2015,PL,TOTAL,T,TOTAL,TOTAL,157921
2016,PL,TOTAL,T,TOTAL,TOTAL,171610
2017,PL,TOTAL,T,TOTAL,TOTAL,239283
2018,PL,TOTAL,T,TOTAL,TOTAL,266283
2019,PL,TOTAL,T,TOTAL,TOTAL,271025
2020,PL,TOTAL,T,TOTAL,TOTAL,283431
2021,PL,TOTAL,T,TOTAL,TOTAL,305563
2022,PL,TOTAL,T,TOTAL,TOTAL,321391
2000,PT,TOTAL,T,TOTAL,TOTAL,38018
2001,PT,TOTAL,T,TOTAL,TOTAL,39163
2002,PT,TOTAL,T,TOTAL,TOTAL,41601
2003,PT,TOTAL,T,TOTAL,TOTAL,44036
2004,PT,TOTAL,T,TOTAL,TOTAL,44311
2005,PT,TOTAL,T,TOTAL,TOTAL,44585
2006,PT,TOTAL,T,TOTAL,TOTAL,53669
2007,PT,TOTAL,T,TOTAL,TOTAL,62752
2008,PT,TOTAL,T,TOTAL,TOTAL,87565
2009,PT,TOTAL,T,TOTAL,TOTAL,88532
2010,PT,TOTAL,T,TOTAL,TOTAL,91917
2011,PT,TOTAL,T,TOTAL,TOTAL,94077
2012,PT,TOTAL,T,TOTAL,TOTAL,92977
2013,PT,TOTAL,T,TOTAL,TOTAL,95347
2014,PT,TOTAL,T,TOTAL,TOTAL,96952
2015,PT,TOTAL,T,TOTAL,TOTAL,103291
2016,PT,TOTAL,T,TOTAL,TOTAL,103680
2017,PT,TOTAL,T,TOTAL,TOTAL,109251
2018,PT,TOTAL,T,TOTAL,TOTAL,116864
2019,PT,TOTAL,T,TOTAL,TOTAL,123012
2020,PT,TOTAL,T,TOTAL,TOTAL,131128
2021,PT,TOTAL,T,TOTAL,TOTAL,138715
2022,PT,TOTAL,T,TOTAL,TOTAL,146669
2000,RO,TOTAL,T,TOTAL,TOTAL,37241
2001,RO,TOTAL,T,TOTAL,TOTAL,37696
2002,RO,TOTAL,T,TOTAL,TOTAL,38433
2003,RO,TOTAL,T,TOTAL,TOTAL,39985
2004,RO,TOTAL,T,TOTAL,TOTAL,40725
2005,RO,TOTAL,T,TOTAL,TOTAL,41035
2006,RO,TOTAL,T,TOTAL,TOTAL,40758
2007,RO,TOTAL,T,TOTAL,TOTAL,42484
2008,RO,TOTAL,T,TOTAL,TOTAL,43502
2009,RO,TOTAL,T,TOTAL,TOTAL,42420
2010,RO,TOTAL,T,TOTAL,TOTAL,39065
2011,RO,TOTAL,T,TOTAL,TOTAL,42363
2012,RO,TOTAL,T,TOTAL,TOTAL,42674
2013,RO,TOTAL,T,TOTAL,TOTAL,43375
2014,RO,TOTAL,T,TOTAL,TOTAL,42963
2015,RO,TOTAL,T,TOTAL,TOTAL,43448
2016,RO,TOTAL,T,TOTAL,TOTAL,44386
2017,RO,TOTAL,T,TOTAL,TOTAL,44801
2018,RO,TOTAL,T,TOTAL,TOTAL,44733
2019,RO,TOTAL,T,TOTAL,TOTAL,43973
2020,RO,TOTAL,T,TOTAL,TOTAL,45304
2021,RO,TOTAL,T,TOTAL,TOTAL,47011
2022,RO,TOTAL,T,TOTAL,TOTAL,49052
2000,SI,TOTAL,T,TOTAL,TOTAL,12220
2001,SI,TOTAL,T,TOTAL,TOTAL,12349
2002,SI,TOTAL,T,TOTAL,TOTAL,12379
2003,SI,TOTAL,T,TOTAL,TOTAL,9506
2004,SI,TOTAL,T,TOTAL,TOTAL,10155
2005,SI,TOTAL,T,TOTAL,TOTAL,12600
2006,SI,TOTAL,T,TOTAL,TOTAL,13521
2007,SI,TOTAL,T,TOTAL,TOTAL,14311
2008,SI,TOTAL,T,TOTAL,TOTAL,16243
2009,SI,TOTAL,T,TOTAL,TOTAL,17045
2010,SI,TOTAL,T,TOTAL,TOTAL,17972
2011,SI,TOTAL,T,TOTAL,TOTAL,21548
2012,SI,TOTAL,T,TOTAL,TOTAL,20967
2013,SI,TOTAL,T,TOTAL,TOTAL,21272
2014,SI,TOTAL,T,TOTAL,TOTAL,21053
2015,SI,TOTAL,T,TOTAL,TOTAL,20633
2016,SI,TOTAL,T,TOTAL,TOTAL,20022
2017,SI,TOTAL,T,TOTAL,TOTAL,21993
2018,SI,TOTAL,T,TOTAL,TOTAL,23633
2019,SI,TOTAL,T,TOTAL,TOTAL,25062
2020,SI,TOTAL,T,TOTAL,TOTAL,25178
2021,SI,TOTAL,T,TOTAL,TOTAL,25363
