TIME,GEO,VALUE
2012,LV,0.38
2013,LV,0.37
2014,LV,0.42
2015,LV,0.49
2016,LV,0.55
2017,LV,0.58
2018,LV,0.56
2019,LV,0.59
2020,LV,0.62
2021,LV,0.57
2022,LV,0.59
2023,LV,0.71
2012,LT,0.99
2013,LT,1.01
2014,LT,0.99
2015,LT,0.93
2016,LT,0.92
2017,LT,0.94
2018,LT,0.86
2019,LT,0.89
2020,LT,0.77
2021,LT,0.83
2022,LT,0.9
2023,LT,1.01
2012,LU,1.37
2013,LU,1.48
2014,LU,1.51
2015,LU,1.53
2016,LU,1.51
2017,LU,1.45
2018,LU,1.41
2019,LU,1.43
2020,LU,1.24
2021,LU,1.37
2022,LU,1.26
2023,LU,1.12
2012,HU,0.69
2013,HU,1.29
2014,HU,0.55
2015,HU,0.55
2016,HU,0.83
2017,HU,0.74
2018,HU,0.65
2019,HU,0.59
2020,HU,1.03
2021,HU,0.93
2022,HU,0.63
2023,HU,0.48
2012,MT,0.64
2013,MT,0.66
2014,MT,0.54
2015,MT,0.65
2016,MT,0.54
2017,MT,0.53
2018,MT,0.55
2019,MT,0.6
2020,MT,0.56
2021,MT,0.54
2022,MT,0.58
2023,MT,0.68
2012,NL,1.52
2013,NL,1.55
2014,NL,1.57
2015,NL,1.58
2016,NL,1.59
2017,NL,1.58
2018,NL,1.69
2019,NL,1.65
2020,NL,1.59
2021,NL,1.71
2022,NL,1.81
2023,NL,2.02
2012,AT,1.5
2013,AT,1.55
2014,AT,1.52
2015,AT,1.56
2016,AT,1.61
2017,AT,1.59
2018,AT,1.55
2019,AT,1.56
2020,AT,1.52
2021,AT,1.44
2022,AT,1.52
2023,AT,1.68
2012,PL,0.82
2013,PL,0.85
2014,PL,1.01
2015,PL,0.98
2016,PL,0.8
2017,PL,0.87
2018,PL,0.69
2019,PL,1.06
2020,PL,0.9
2021,PL,1.04
2022,PL,0.97
2023,PL,0.98
2012,PT,0.72
2013,PT,0.79
2014,PT,0.7
2015,PT,0.79
2016,PT,0.85
2017,PT,0.82
2018,PT,0.84
2019,PT,0.82
2020,PT,0.75
2021,PT,0.76
2022,PT,0.75
2023,PT,0.71
2012,RO,0.57
2013,RO,0.58
2014,RO,0.6
2015,RO,0.72
2016,RO,0.81
2017,RO,0.56
2018,RO,0.5
2019,RO,0.53
2020,RO,0.43
2021,RO,0.41
2022,RO,0.35
2023,RO,0.31
2012,SI,1.06
2013,SI,0.79
2014,SI,0.84
2015,SI,0.84
2016,SI,0.87
2017,SI,0.9
2018,SI,0.96
2019,SI,1.04
2020,SI,1.01
2021,SI,1.02
2022,SI,1.14
2023,SI,1.36
2012,SK,0.97
2013,SK,0.91
2014,SK,0.88
2015,SK,0.91
2016,SK,0.87
2017,SK,0.92
2018,SK,0.92
2019,SK,0.94
2020,SK,0.92
2021,SK,0.9
2022,SK,0.89
2023,SK,0.71
2012,FI,1.85
2013,FI,1.74
2014,FI,1.69
2015,FI,1.68
2016,FI,1.52
2017,FI,1.55
2018,FI,1.57
2019,FI,1.57
2020,FI,1.68
2021,FI,1.6
2022,FI,1.68
2023,FI,1.52
2012,SE,1.63
2013,SE,1.59
2014,SE,1.62
2015,SE,1.58
2016,SE,1.57
2017,SE,1.57
2018,SE,1.5
2019,SE,1.49
2020,SE,1.46
2021,SE,1.58
2022,SE,1.53
2023,SE,1.55
2012,IS,2.03
2013,IS,1.6
2014,IS,1.57
2015,IS,1.7
2016,IS,1.75
2017,IS,1.85
2018,IS,1.95
2019,IS,1.9
2020,IS,2.02
2021,IS,2.37
2022,IS,2.32
2023,IS,2.25
2012,NO,1.81
2013,NO,1.83
2014,NO,1.85
2015,NO,1.89
2016,NO,1.94
2017,NO,2.04
2018,NO,2.02
2019,NO,1.99
2020,NO,1.97
2021,NO,1.89
2022,NO,1.9
2023,NO,1.78
2012,CH,2.59
2014,CH,2.58
2015,CH,2.62
2017,CH,2.97
2018,CH,2.85
2019,CH,2.9
2020,CH,2.72
2021,CH,2.77
2022,CH,2.97
2012,UK,1.17
2013,UK,1.28
2014,UK,1.27
2015,UK,1.25
2016,UK,1.24
2017,UK,1.27
2018,UK,1.33
2019,UK,1.36
2012,RU,1.49
2013,RU,1.62
2014,RU,1.43
2015,RU,1.53
