TIME,GEO,UNIT,INDIC_IL,SEX,AGE,VALUE
2019,Italy,Euro,Mean equivalised net income,Total,Total,19528
2020,Italy,Euro,Mean equivalised net income,Total,Total,20449
2021,Italy,Euro,Mean equivalised net income,Total,Total,20278
2005,Cyprus,Euro,Mean equivalised net income,Total,Total,15068
2006,Cyprus,Euro,Mean equivalised net income,Total,Total,16599
2007,Cyprus,Euro,Mean equivalised net income,Total,Total,18565
2008,Cyprus,Euro,Mean equivalised net income,Total,Total,18571
2009,Cyprus,Euro,Mean equivalised net income,Total,Total,19103
2010,Cyprus,Euro,Mean equivalised net income,Total,Total,18929
2011,Cyprus,Euro,Mean equivalised net income,Total,Total,19621
2012,Cyprus,Euro,Mean equivalised net income,Total,Total,20218
2013,Cyprus,Euro,Mean equivalised net income,Total,Total,19426
2014,Cyprus,Euro,Mean equivalised net income,Total,Total,18418
2015,Cyprus,Euro,Mean equivalised net income,Total,Total,16944
2016,Cyprus,Euro,Mean equivalised net income,Total,Total,16943
2017,Cyprus,Euro,Mean equivalised net income,Total,Total,17218
2018,Cyprus,Euro,Mean equivalised net income,Total,Total,17582
2019,Cyprus,Euro,Mean equivalised net income,Total,Total,19302
2020,Cyprus,Euro,Mean equivalised net income,Total,Total,19430
2021,Cyprus,Euro,Mean equivalised net income,Total,Total,19649
2005,Latvia,Euro,Mean equivalised net income,Total,Total,2569
2006,Latvia,Euro,Mean equivalised net income,Total,Total,3212
2007,Latvia,Euro,Mean equivalised net income,Total,Total,4080
2008,Latvia,Euro,Mean equivalised net income,Total,Total,5798
2009,Latvia,Euro,Mean equivalised net income,Total,Total,6479
2010,Latvia,Euro,Mean equivalised net income,Total,Total,5466
2011,Latvia,Euro,Mean equivalised net income,Total,Total,5131
2012,Latvia,Euro,Mean equivalised net income,Total,Total,5463
2013,Latvia,Euro,Mean equivalised net income,Total,Total,5732
2014,Latvia,Euro,Mean equivalised net income,Total,Total,6324
2015,Latvia,Euro,Mean equivalised net income,Total,Total,6970
2016,Latvia,Euro,Mean equivalised net income,Total,Total,7526
2017,Latvia,Euro,Mean equivalised net income,Total,Total,7831
2018,Latvia,Euro,Mean equivalised net income,Total,Total,8738
2019,Latvia,Euro,Mean equivalised net income,Total,Total,9749
2020,Latvia,Euro,Mean equivalised net income,Total,Total,10413
2021,Latvia,Euro,Mean equivalised net income,Total,Total,11240
2005,Lithuania,Euro,Mean equivalised net income,Total,Total,2554
2006,Lithuania,Euro,Mean equivalised net income,Total,Total,3062
2007,Lithuania,Euro,Mean equivalised net income,Total,Total,3938
2008,Lithuania,Euro,Mean equivalised net income,Total,Total,4902
2009,Lithuania,Euro,Mean equivalised net income,Total,Total,5843
2010,Lithuania,Euro,Mean equivalised net income,Total,Total,4975
2011,Lithuania,Euro,Mean equivalised net income,Total,Total,4503
2012,Lithuania,Euro,Mean equivalised net income,Total,Total,5124
2013,Lithuania,Euro,Mean equivalised net income,Total,Total,5648
2014,Lithuania,Euro,Mean equivalised net income,Total,Total,5975
2015,Lithuania,Euro,Mean equivalised net income,Total,Total,6558
2016,Lithuania,Euro,Mean equivalised net income,Total,Total,7033
2017,Lithuania,Euro,Mean equivalised net income,Total,Total,7555
2018,Lithuania,Euro,Mean equivalised net income,Total,Total,8415
2019,Lithuania,Euro,Mean equivalised net income,Total,Total,9264
2020,Lithuania,Euro,Mean equivalised net income,Total,Total,10491
2021,Lithuania,Euro,Mean equivalised net income,Total,Total,11888
2000,Luxembourg,Euro,Mean equivalised net income,Total,Total,25353
2001,Luxembourg,Euro,Mean equivalised net income,Total,Total,26360
2003,Luxembourg,Euro,Mean equivalised net income,Total,Total,29669
2004,Luxembourg,Euro,Mean equivalised net income,Total,Total,30433
2005,Luxembourg,Euro,Mean equivalised net income,Total,Total,31828
2006,Luxembourg,Euro,Mean equivalised net income,Total,Total,33228
2007,Luxembourg,Euro,Mean equivalised net income,Total,Total,34223
2008,Luxembourg,Euro,Mean equivalised net income,Total,Total,35448
2009,Luxembourg,Euro,Mean equivalised net income,Total,Total,36475
2010,Luxembourg,Euro,Mean equivalised net income,Total,Total,36410
2011,Luxembourg,Euro,Mean equivalised net income,Total,Total,36662
2012,Luxembourg,Euro,Mean equivalised net income,Total,Total,36925
2013,Luxembourg,Euro,Mean equivalised net income,Total,Total,38442
2014,Luxembourg,Euro,Mean equivalised net income,Total,Total,38555
2015,Luxembourg,Euro,Mean equivalised net income,Total,Total,39707
2016,Luxembourg,Euro,Mean equivalised net income,Total,Total,37642
2017,Luxembourg,Euro,Mean equivalised net income,Total,Total,41085
2018,Luxembourg,Euro,Mean equivalised net income,Total,Total,40075
2019,Luxembourg,Euro,Mean equivalised net income,Total,Total,42818
2020,Luxembourg,Euro,Mean equivalised net income,Total,Total,43687
2021,Luxembourg,Euro,Mean equivalised net income,Total,Total,48220
2005,Hungary,Euro,Mean equivalised net income,Total,Total,3915
2006,Hungary,Euro,Mean equivalised net income,Total,Total,4586
2007,Hungary,Euro,Mean equivalised net income,Total,Total,4363
2008,Hungary,Euro,Mean equivalised net income,Total,Total,4827
2009,Hungary,Euro,Mean equivalised net income,Total,Total,5201
2010,Hungary,Euro,Mean equivalised net income,Total,Total,4631
2011,Hungary,Euro,Mean equivalised net income,Total,Total,5055
2012,Hungary,Euro,Mean equivalised net income,Total,Total,5250
2013,Hungary,Euro,Mean equivalised net income,Total,Total,5027
2014,Hungary,Euro,Mean equivalised net income,Total,Total,5124
2015,Hungary,Euro,Mean equivalised net income,Total,Total,5165
2016,Hungary,Euro,Mean equivalised net income,Total,Total,5396
2017,Hungary,Euro,Mean equivalised net income,Total,Total,5589
2018,Hungary,Euro,Mean equivalised net income,Total,Total,6123
2019,Hungary,Euro,Mean equivalised net income,Total,Total,6568
2020,Hungary,Euro,Mean equivalised net income,Total,Total,7278
2021,Hungary,Euro,Mean equivalised net income,Total,Total,7337
2005,Malta,Euro,Mean equivalised net income,Total,Total,9657
2006,Malta,Euro,Mean equivalised net income,Total,Total,10079
2007,Malta,Euro,Mean equivalised net income,Total,Total,10200
2008,Malta,Euro,Mean equivalised net income,Total,Total,11165
2009,Malta,Euro,Mean equivalised net income,Total,Total,11866
2010,Malta,Euro,Mean equivalised net income,Total,Total,11794
2011,Malta,Euro,Mean equivalised net income,Total,Total,12097
2012,Malta,Euro,Mean equivalised net income,Total,Total,12663
2013,Malta,Euro,Mean equivalised net income,Total,Total,13438
2014,Malta,Euro,Mean equivalised net income,Total,Total,14315
2015,Malta,Euro,Mean equivalised net income,Total,Total,15172
2016,Malta,Euro,Mean equivalised net income,Total,Total,15505
2017,Malta,Euro,Mean equivalised net income,Total,Total,16387
2018,Malta,Euro,Mean equivalised net income,Total,Total,16749
2019,Malta,Euro,Mean equivalised net income,Total,Total,17246
2020,Malta,Euro,Mean equivalised net income,Total,Total,19048
2021,Malta,Euro,Mean equivalised net income,Total,Total,19882
2000,Netherlands,Euro,Mean equivalised net income,Total,Total,14779
2001,Netherlands,Euro,Mean equivalised net income,Total,Total,15518
2005,Netherlands,Euro,Mean equivalised net income,Total,Total,18901
2006,Netherlands,Euro,Mean equivalised net income,Total,Total,19419
2007,Netherlands,Euro,Mean equivalised net income,Total,Total,20809
2008,Netherlands,Euro,Mean equivalised net income,Total,Total,22303
2009,Netherlands,Euro,Mean equivalised net income,Total,Total,22790
2010,Netherlands,Euro,Mean equivalised net income,Total,Total,22692
2011,Netherlands,Euro,Mean equivalised net income,Total,Total,22556
2012,Netherlands,Euro,Mean equivalised net income,Total,Total,22951
2013,Netherlands,Euro,Mean equivalised net income,Total,Total,23125
2014,Netherlands,Euro,Mean equivalised net income,Total,Total,23190
2015,Netherlands,Euro,Mean equivalised net income,Total,Total,23925
2016,Netherlands,Euro,Mean equivalised net income,Total,Total,25366
2017,Netherlands,Euro,Mean equivalised net income,Total,Total,26350
2018,Netherlands,Euro,Mean equivalised net income,Total,Total,26848
2019,Netherlands,Euro,Mean equivalised net income,Total,Total,27352
2020,Netherlands,Euro,Mean equivalised net income,Total,Total,29297
2021,Netherlands,Euro,Mean equivalised net income,Total,Total,30629
2022,Netherlands,Euro,Mean equivalised net income,Total,Total,31806
2000,Austria,Euro,Mean equivalised net income,Total,Total,16566
2001,Austria,Euro,Mean equivalised net income,Total,Total,16611
2003,Austria,Euro,Mean equivalised net income,Total,Total,17566
2004,Austria,Euro,Mean equivalised net income,Total,Total,18602
2005,Austria,Euro,Mean equivalised net income,Total,Total,19797
2006,Austria,Euro,Mean equivalised net income,Total,Total,19684
2007,Austria,Euro,Mean equivalised net income,Total,Total,20342
2008,Austria,Euro,Mean equivalised net income,Total,Total,21681
2009,Austria,Euro,Mean equivalised net income,Total,Total,22756
2010,Austria,Euro,Mean equivalised net income,Total,Total,23576
2011,Austria,Euro,Mean equivalised net income,Total,Total,23922
2012,Austria,Euro,Mean equivalised net income,Total,Total,24423
2013,Austria,Euro,Mean equivalised net income,Total,Total,24366
2014,Austria,Euro,Mean equivalised net income,Total,Total,26080
2015,Austria,Euro,Mean equivalised net income,Total,Total,25958
2016,Austria,Euro,Mean equivalised net income,Total,Total,26054
2017,Austria,Euro,Mean equivalised net income,Total,Total,27629
2018,Austria,Euro,Mean equivalised net income,Total,Total,27804
2019,Austria,Euro,Mean equivalised net income,Total,Total,28568
2020,Austria,Euro,Mean equivalised net income,Total,Total,29503
2021,Austria,Euro,Mean equivalised net income,Total,Total,30032
2005,Poland,Euro,Mean equivalised net income,Total,Total,3040
2006,Poland,Euro,Mean equivalised net income,Total,Total,3705
2007,Poland,Euro,Mean equivalised net income,Total,Total,4150
2008,Poland,Euro,Mean equivalised net income,Total,Total,4940
2009,Poland,Euro,Mean equivalised net income,Total,Total,5984
2010,Poland,Euro,Mean equivalised net income,Total,Total,5116
2011,Poland,Euro,Mean equivalised net income,Total,Total,5813
2012,Poland,Euro,Mean equivalised net income,Total,Total,5902
2013,Poland,Euro,Mean equivalised net income,Total,Total,5976
2014,Poland,Euro,Mean equivalised net income,Total,Total,6163
2015,Poland,Euro,Mean equivalised net income,Total,Total,6376
2016,Poland,Euro,Mean equivalised net income,Total,Total,6659
2017,Poland,Euro,Mean equivalised net income,Total,Total,6810
2018,Poland,Euro,Mean equivalised net income,Total,Total,7337
2019,Poland,Euro,Mean equivalised net income,Total,Total,8022
2020,Poland,Euro,Mean equivalised net income,Total,Total,8907
2021,Poland,Euro,Mean equivalised net income,Total,Total,9161
2000,Portugal,Euro,Mean equivalised net income,Total,Total,6976
2001,Portugal,Euro,Mean equivalised net income,Total,Total,7634
2004,Portugal,Euro,Mean equivalised net income,Total,Total,8867
2005,Portugal,Euro,Mean equivalised net income,Total,Total,9392
2006,Portugal,Euro,Mean equivalised net income,Total,Total,9554
2007,Portugal,Euro,Mean equivalised net income,Total,Total,9929
2008,Portugal,Euro,Mean equivalised net income,Total,Total,10288
2009,Portugal,Euro,Mean equivalised net income,Total,Total,10393
2010,Portugal,Euro,Mean equivalised net income,Total,Total,10540
2011,Portugal,Euro,Mean equivalised net income,Total,Total,10407
2012,Portugal,Euro,Mean equivalised net income,Total,Total,10227
2013,Portugal,Euro,Mean equivalised net income,Total,Total,9899
2014,Portugal,Euro,Mean equivalised net income,Total,Total,9856
2015,Portugal,Euro,Mean equivalised net income,Total,Total,9996
2016,Portugal,Euro,Mean equivalised net income,Total,Total,10562
2017,Portugal,Euro,Mean equivalised net income,Total,Total,10863
2018,Portugal,Euro,Mean equivalised net income,Total,Total,11063
2019,Portugal,Euro,Mean equivalised net income,Total,Total,11786
2020,Portugal,Euro,Mean equivalised net income,Total,Total,12696
2021,Portugal,Euro,Mean equivalised net income,Total,Total,13113
2007,Romania,Euro,Mean equivalised net income,Total,Total,1940
2008,Romania,Euro,Mean equivalised net income,Total,Total,2318
2009,Romania,Euro,Mean equivalised net income,Total,Total,2524
2010,Romania,Euro,Mean equivalised net income,Total,Total,2371
2011,Romania,Euro,Mean equivalised net income,Total,Total,2401
2012,Romania,Euro,Mean equivalised net income,Total,Total,2356
2013,Romania,Euro,Mean equivalised net income,Total,Total,2324
2014,Romania,Euro,Mean equivalised net income,Total,Total,2443
2015,Romania,Euro,Mean equivalised net income,Total,Total,2674
2016,Romania,Euro,Mean equivalised net income,Total,Total,2746
2017,Romania,Euro,Mean equivalised net income,Total,Total,3059
2018,Romania,Euro,Mean equivalised net income,Total,Total,3825
2019,Romania,Euro,Mean equivalised net income,Total,Total,4419
2020,Romania,Euro,Mean equivalised net income,Total,Total,4846
2021,Romania,Euro,Mean equivalised net income,Total,Total,5437
2005,Slovenia,Euro,Mean equivalised net income,Total,Total,9539
2006,Slovenia,Euro,Mean equivalised net income,Total,Total,10112
2007,Slovenia,Euro,Mean equivalised net income,Total,Total,10724
2008,Slovenia,Euro,Mean equivalised net income,Total,Total,11709
2009,Slovenia,Euro,Mean equivalised net income,Total,Total,12743
2010,Slovenia,Euro,Mean equivalised net income,Total,Total,12653
2011,Slovenia,Euro,Mean equivalised net income,Total,Total,12885
2012,Slovenia,Euro,Mean equivalised net income,Total,Total,12972
2013,Slovenia,Euro,Mean equivalised net income,Total,Total,12706
2014,Slovenia,Euro,Mean equivalised net income,Total,Total,12843
2015,Slovenia,Euro,Mean equivalised net income,Total,Total,13211
2016,Slovenia,Euro,Mean equivalised net income,Total,Total,13193
2017,Slovenia,Euro,Mean equivalised net income,Total,Total,13585
2018,Slovenia,Euro,Mean equivalised net income,Total,Total,14127
2019,Slovenia,Euro,Mean equivalised net income,Total,Total,15236
2020,Slovenia,Euro,Mean equivalised net income,Total,Total,15836
2021,Slovenia,Euro,Mean equivalised net income,Total,Total,16597
