GEO,UNIT,SEX,NACE_R2,ISCED11,VALUE
Iceland,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3032
Norway,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3160
Switzerland,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4246
United Kingdom,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2719
North Macedonia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1203
Serbia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1134
Bulgaria,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,653
Czechia,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1363
Denmark,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4936
Germany,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3702
Estonia,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1577
Ireland,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4117
Spain,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2204
France,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3117
Croatia,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1256
Italy,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2744
Cyprus,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2103
Latvia,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1288
Lithuania,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1060
Luxembourg,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4780
Hungary,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1060
Malta,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2256
Netherlands,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3433
Poland,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1205
Romania,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,980
Slovenia,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1840
Slovakia,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1296
Finland,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3738
Sweden,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3743
Iceland,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,5379
Norway,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,5164
Switzerland,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,7226
United Kingdom,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3677
North Macedonia,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,648
Serbia,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,662
Bulgaria,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1255
Czechia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1857
Denmark,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3487
Germany,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3466
Estonia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1900
Ireland,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3103
Spain,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2302
France,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2744
Croatia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1790
Italy,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2651
Cyprus,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2338
Latvia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1684
Lithuania,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1560
Luxembourg,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3692
Hungary,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1645
Malta,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2650
Netherlands,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2972
Poland,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2023
Romania,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1812
Slovenia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2111
Slovakia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1626
Finland,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2967
Sweden,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3029
Iceland,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3313
Norway,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3419
Switzerland,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4632
United Kingdom,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3061
North Macedonia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1300
Serbia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1190
Bulgaria,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,563
Czechia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1086
Denmark,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4087
Germany,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2996
Estonia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1235
Ireland,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3467
Spain,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1903
France,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2565
Croatia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1114
Italy,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2303
Cyprus,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1766
Latvia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1048
Lithuania,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,910
Luxembourg,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4601
Hungary,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,893
Malta,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1918
Netherlands,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2804
Poland,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1007
Romania,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,964
Slovenia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1637
Slovakia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1025
Finland,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3071
Sweden,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3260
Iceland,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4528
Norway,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4360
Switzerland,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,5892
United Kingdom,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2859
North Macedonia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,542
Serbia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,599
Bulgaria,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1082
Czechia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1480
Denmark,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2887
Germany,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2805
Estonia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1488
Ireland,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2612
Spain,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1988
France,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2258
Croatia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1588
Italy,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2225
Cyprus,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1964
Latvia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1370
Lithuania,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1339
Luxembourg,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3553
Hungary,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1386
Malta,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2252
Netherlands,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2428
Poland,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1691
Romania,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1783
Slovenia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1877
Slovakia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1286
Finland,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2438
Sweden,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2638
Iceland,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2789
Norway,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2887
Switzerland,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3777
United Kingdom,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2380
North Macedonia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1087
Serbia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1076
Belgium,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,3360
Bulgaria,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,608
Czechia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1225
Denmark,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,4473
Germany,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,3349
Estonia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1372
Ireland,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,3760
Greece,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1446
Spain,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2043
France,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2895
Croatia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1179
Italy,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2520
Cyprus,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1909
Latvia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1158
Lithuania,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,970
Luxembourg,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,4630
Hungary,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,996
Malta,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2108
Netherlands,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,3076
Austria,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,3066
Poland,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1105
Portugal,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1293
Romania,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,951
Slovenia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1719
Slovakia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1164
Finland,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,3360
Sweden,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,3488
Iceland,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,4854
Norway,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,4743
Switzerland,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,6620
United Kingdom,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,3258
North Macedonia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,586
Albania,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,398
Serbia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,626
Türkiye,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,768
Belgium,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2927
Bulgaria,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1168
Czechia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1669
Denmark,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,3160
Germany,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,3135
Estonia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1653
Ireland,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2833
Greece,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1672
Spain,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2135
France,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2548
Croatia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1681
Italy,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2435
Cyprus,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2123
Latvia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1514
Lithuania,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1427
Luxembourg,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,3576
Hungary,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1546
Malta,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2475
Netherlands,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2663
Austria,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,2738
Poland,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1855
Portugal,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),All ISCED 2011 levels,1452
