TIME,GEO,VALUE
2003,Lithuania,54.06
2004,Lithuania,58.44
2005,Lithuania,73.43
2006,Lithuania,94.25
2007,Lithuania,119.06
2008,Lithuania,129.76
2009,Lithuania,90.92
2010,Lithuania,84.2
2011,Lithuania,89.77
2012,Lithuania,89.56
2013,Lithuania,90.65
2014,Lithuania,96.47
2015,Lithuania,100
2016,Lithuania,105.4
2017,Lithuania,114.8
2018,Lithuania,123.18
2019,Lithuania,131.61
2020,Lithuania,141.18
2021,Lithuania,163.84
2000,Luxembourg,35.82
2001,Luxembourg,40.87
2002,Luxembourg,44.32
2003,Luxembourg,49.29
2004,Luxembourg,56.18
2005,Luxembourg,62.59
2006,Luxembourg,69.56
2007,Luxembourg,74.42
2008,Luxembourg,76.91
2009,Luxembourg,76.02
2010,Luxembourg,80.14
2011,Luxembourg,83.09
2012,Luxembourg,86.58
2013,Luxembourg,90.89
2014,Luxembourg,94.88
2015,Luxembourg,100
2016,Luxembourg,106.01
2017,Luxembourg,111.96
2018,Luxembourg,119.86
2019,Luxembourg,131.99
2020,Luxembourg,151.12
2021,Luxembourg,172.15
2007,Hungary,98.91
2008,Hungary,101.26
2009,Hungary,95.95
2010,Hungary,93.66
2011,Hungary,90.45
2012,Hungary,87.1
2013,Hungary,84.87
2014,Hungary,88.43
2015,Hungary,100
2016,Hungary,113.38
2017,Hungary,127.24
2018,Hungary,145.5
2019,Hungary,170.17
2020,Hungary,178.58
2021,Hungary,208.04
2000,Malta,32.32
2001,Malta,35.42
2002,Malta,39.88
2003,Malta,46.43
2004,Malta,54.26
2005,Malta,58.43
2006,Malta,70.04
2007,Malta,84.75
2008,Malta,94.14
2009,Malta,90.07
2010,Malta,91.04
2011,Malta,89.8
2012,Malta,92.54
2013,Malta,92.16
2014,Malta,94.51
2015,Malta,100
2016,Malta,105.45
2017,Malta,111.03
2018,Malta,117.45
2019,Malta,124.65
2020,Malta,128.86
2021,Malta,135.44
2000,Netherlands,81.68
2001,Netherlands,89.48
2002,Netherlands,95.16
2003,Netherlands,97.5
2004,Netherlands,101.4
2005,Netherlands,106.2
2006,Netherlands,110.73
2007,Netherlands,116.1
2008,Netherlands,118.64
2009,Netherlands,113.35
2010,Netherlands,111.4
2011,Netherlands,109.19
2012,Netherlands,101.86
2013,Netherlands,95.75
2014,Netherlands,96.53
2015,Netherlands,100
2016,Netherlands,105.02
2017,Netherlands,112.93
2018,Netherlands,123.61
2019,Netherlands,132.62
2020,Netherlands,142.75
2021,Netherlands,164.21
2000,Austria,60.36
2001,Austria,60.82
2002,Austria,61.21
2003,Austria,61.36
2004,Austria,60.21
2005,Austria,63.21
2006,Austria,65.82
2007,Austria,68.89
2008,Austria,69.58
2009,Austria,72.34
2010,Austria,76.8
2011,Austria,81.6
2012,Austria,87.57
2013,Austria,92.1
2014,Austria,95.33
2015,Austria,100
2016,Austria,108.53
2017,Austria,114.26
2018,Austria,119.64
2019,Austria,126.6
2020,Austria,136.31
2021,Austria,153.26
2005,Poland,56.01
2006,Poland,76.52
2007,Poland,113.82
2008,Poland,112.89
2009,Poland,109.73
2010,Poland,105.61
2011,Poland,105.7
2012,Poland,102.01
2013,Poland,97.54
2014,Poland,98.5
2015,Poland,100
2016,Poland,101.86
2017,Poland,105.78
2018,Poland,112.74
2019,Poland,122.52
2020,Poland,135.36
2021,Poland,147.77
2000,Portugal,90.72
2001,Portugal,95.66
2002,Portugal,96.2
2003,Portugal,97.27
2004,Portugal,97.92
2005,Portugal,100.17
2006,Portugal,102.21
2007,Portugal,103.61
2008,Portugal,107.53
2009,Portugal,106.54
2010,Portugal,107.36
2011,Portugal,102.09
2012,Portugal,94.87
2013,Portugal,93.09
2014,Portugal,97.04
2015,Portugal,100
2016,Portugal,107.12
2017,Portugal,117.02
2018,Portugal,129.03
2019,Portugal,141.88
2020,Portugal,154.33
2021,Portugal,168.84
2008,Romania,169.64
2009,Romania,129.28
2010,Romania,119.54
2011,Romania,104.83
2012,Romania,99.51
2013,Romania,99.26
2014,Romania,97.22
2015,Romania,100
2016,Romania,105.95
2017,Romania,112.36
2018,Romania,118.62
2019,Romania,122.69
2020,Romania,128.44
2021,Romania,134.09
2003,Slovenia,66.69
2004,Slovenia,73.14
2005,Slovenia,83.68
2006,Slovenia,97.75
2007,Slovenia,120.85
2008,Slovenia,129.31
2009,Slovenia,117.06
2010,Slovenia,117.21
2011,Slovenia,120.39
2012,Slovenia,112.09
2013,Slovenia,106.21
2014,Slovenia,99.2
2015,Slovenia,100
2016,Slovenia,103.25
2017,Slovenia,111.79
2018,Slovenia,121.55
2019,Slovenia,129.69
2020,Slovenia,135.66
2021,Slovenia,151.32
2006,Slovakia,75.99
2007,Slovakia,98
2008,Slovakia,115.55
2009,Slovakia,100.82
2010,Slovakia,96.78
2011,Slovakia,95.33
2012,Slovakia,92.75
2013,Slovakia,93.59
2014,Slovakia,94.91
2015,Slovakia,100
2016,Slovakia,106.7
2017,Slovakia,112.99
2018,Slovakia,121.32
2019,Slovakia,132.39
2020,Slovakia,145.06
2021,Slovakia,154.33
2000,Finland,58.67
2001,Finland,57.74
2002,Finland,61.4
2003,Finland,65.25
2004,Finland,70.5
2005,Finland,76.25
2006,Finland,81.56
2007,Finland,86.37
2008,Finland,87.06
2009,Finland,88.31
2010,Finland,93.88
2011,Finland,96.87
2012,Finland,99.21
2013,Finland,100.35
2014,Finland,100
2015,Finland,100
2016,Finland,101.29
2017,Finland,102.39
2018,Finland,103.34
2019,Finland,103.77
2020,Finland,105.6
2021,Finland,110.45
2000,Sweden,35.38
2001,Sweden,38.19
2002,Sweden,40.63
2003,Sweden,43.29
2004,Sweden,47.35
2005,Sweden,52.04
2006,Sweden,58.46
2007,Sweden,65.74
2008,Sweden,66.47
2009,Sweden,68.57
2010,Sweden,73.97
2011,Sweden,75.87
2012,Sweden,76.83
2013,Sweden,80.79
2014,Sweden,88.4
2015,Sweden,100
2016,Sweden,108.24
2017,Sweden,115.43
2018,Sweden,114.35
2019,Sweden,117.19
2020,Sweden,122.11
2021,Sweden,134.46
