TIME,GEO,CURRENCY,TAX,NRG_CONS,VALUE
2022-S2,MT,EUR,X_VAT,TOT_KWH,0.1435
2023-S1,MT,EUR,X_VAT,TOT_KWH,0.1399
2023-S2,MT,EUR,X_VAT,TOT_KWH,0.1401
2021-S2,NL,EUR,X_VAT,TOT_KWH,0.1134
2022-S1,NL,EUR,X_VAT,TOT_KWH,0.0165
2022-S2,NL,EUR,X_VAT,TOT_KWH,0.0895
2023-S1,NL,EUR,X_VAT,TOT_KWH,0.3011
2023-S2,NL,EUR,X_VAT,TOT_KWH,0.1766
2024-S1,NL,EUR,X_VAT,TOT_KWH,0.2081
2021-S2,AT,EUR,X_VAT,TOT_KWH,0.1876
2022-S1,AT,EUR,X_VAT,TOT_KWH,0.1834
2022-S2,AT,EUR,X_VAT,TOT_KWH,0.1963
2023-S1,AT,EUR,X_VAT,TOT_KWH,0.2267
2023-S2,AT,EUR,X_VAT,TOT_KWH,0.2404
2024-S1,AT,EUR,X_VAT,TOT_KWH,0.2372
2021-S2,PL,EUR,X_VAT,TOT_KWH,0.1344
2022-S1,PL,EUR,X_VAT,TOT_KWH,0.1442
2022-S2,PL,EUR,X_VAT,TOT_KWH,0.1609
2023-S1,PL,EUR,X_VAT,TOT_KWH,0.1609
2023-S2,PL,EUR,X_VAT,TOT_KWH,0.1863
2021-S2,PT,EUR,X_VAT,TOT_KWH,0.1921
2022-S1,PT,EUR,X_VAT,TOT_KWH,0.194
2022-S2,PT,EUR,X_VAT,TOT_KWH,0.1972
2023-S1,PT,EUR,X_VAT,TOT_KWH,0.1858
2023-S2,PT,EUR,X_VAT,TOT_KWH,0.203
2021-S2,RO,EUR,X_VAT,TOT_KWH,0.1354
2022-S1,RO,EUR,X_VAT,TOT_KWH,0.195
2022-S2,RO,EUR,X_VAT,TOT_KWH,0.2875
2023-S1,RO,EUR,X_VAT,TOT_KWH,0.1513
2023-S2,RO,EUR,X_VAT,TOT_KWH,0.1497
2024-S1,RO,EUR,X_VAT,TOT_KWH,0.1491
2021-S2,SI,EUR,X_VAT,TOT_KWH,0.1342
2022-S1,SI,EUR,X_VAT,TOT_KWH,0.1101
2022-S2,SI,EUR,X_VAT,TOT_KWH,0.1627
2023-S1,SI,EUR,X_VAT,TOT_KWH,0.1688
2023-S2,SI,EUR,X_VAT,TOT_KWH,0.1689
2024-S1,SI,EUR,X_VAT,TOT_KWH,0.17
2021-S2,SK,EUR,X_VAT,TOT_KWH,0.1358
2022-S1,SK,EUR,X_VAT,TOT_KWH,0.1494
2022-S2,SK,EUR,X_VAT,TOT_KWH,0.1576
2023-S1,SK,EUR,X_VAT,TOT_KWH,0.159
2023-S2,SK,EUR,X_VAT,TOT_KWH,0.1639
2024-S1,SK,EUR,X_VAT,TOT_KWH,0.1507
2021-S2,FI,EUR,X_VAT,TOT_KWH,0.1295
2022-S1,FI,EUR,X_VAT,TOT_KWH,0.1346
2022-S2,FI,EUR,X_VAT,TOT_KWH,0.1683
2023-S1,FI,EUR,X_VAT,TOT_KWH,0.1682
2023-S2,FI,EUR,X_VAT,TOT_KWH,0.1647
2024-S1,FI,EUR,X_VAT,TOT_KWH,0.1704
2020-S1,SE,EUR,X_VAT,TOT_KWH,0.122
2020-S2,SE,EUR,X_VAT,TOT_KWH,0.132
2021-S1,SE,EUR,X_VAT,TOT_KWH,0.1358
2021-S2,SE,EUR,X_VAT,TOT_KWH,0.1616
2022-S1,SE,EUR,X_VAT,TOT_KWH,0.1341
2022-S2,SE,EUR,X_VAT,TOT_KWH,0.1624
2023-S1,SE,EUR,X_VAT,TOT_KWH,0.1738
2023-S2,SE,EUR,X_VAT,TOT_KWH,0.1496
2024-S1,SE,EUR,X_VAT,TOT_KWH,0.1634
2021-S2,IS,EUR,X_VAT,TOT_KWH,0.091
2022-S1,IS,EUR,X_VAT,TOT_KWH,0.0999
2022-S2,IS,EUR,X_VAT,TOT_KWH,0.1015
2023-S1,IS,EUR,X_VAT,TOT_KWH,0.1016
2023-S2,IS,EUR,X_VAT,TOT_KWH,0.1059
2021-S2,LI,EUR,X_VAT,TOT_KWH,0.1909
2022-S1,LI,EUR,X_VAT,TOT_KWH,0.1997
2022-S2,LI,EUR,X_VAT,TOT_KWH,0.212
2023-S1,LI,EUR,X_VAT,TOT_KWH,0.4
2023-S2,LI,EUR,X_VAT,TOT_KWH,0.3303
2024-S1,LI,EUR,X_VAT,TOT_KWH,0.2952
2021-S2,NO,EUR,X_VAT,TOT_KWH,0.1501
2022-S1,NO,EUR,X_VAT,TOT_KWH,0.1221
2022-S2,NO,EUR,X_VAT,TOT_KWH,0.1322
2023-S1,NO,EUR,X_VAT,TOT_KWH,0.1095
2023-S2,NO,EUR,X_VAT,TOT_KWH,0.0993
2021-S2,BA,EUR,X_VAT,TOT_KWH,0.0737
2022-S1,BA,EUR,X_VAT,TOT_KWH,0.0762
2022-S2,BA,EUR,X_VAT,TOT_KWH,0.0764
2023-S1,BA,EUR,X_VAT,TOT_KWH,0.0787
2023-S2,BA,EUR,X_VAT,TOT_KWH,0.0756
2024-S1,BA,EUR,X_VAT,TOT_KWH,0.0775
2021-S2,ME,EUR,X_VAT,TOT_KWH,0.0857
2022-S1,ME,EUR,X_VAT,TOT_KWH,0.0848
2022-S2,ME,EUR,X_VAT,TOT_KWH,0.0866
2023-S1,ME,EUR,X_VAT,TOT_KWH,0.0849
2023-S2,ME,EUR,X_VAT,TOT_KWH,0.0833
2024-S1,ME,EUR,X_VAT,TOT_KWH,0.0847
2021-S2,MD,EUR,X_VAT,TOT_KWH,0.0808
2022-S1,MD,EUR,X_VAT,TOT_KWH,0.097
2022-S2,MD,EUR,X_VAT,TOT_KWH,0.1787
2023-S1,MD,EUR,X_VAT,TOT_KWH,0.1753
2023-S2,MD,EUR,X_VAT,TOT_KWH,0.1396
2024-S1,MD,EUR,X_VAT,TOT_KWH,0.1299
2021-S2,MK,EUR,X_VAT,TOT_KWH,0.08
2022-S1,MK,EUR,X_VAT,TOT_KWH,0.089
2022-S2,MK,EUR,X_VAT,TOT_KWH,0.1007
2023-S1,MK,EUR,X_VAT,TOT_KWH,0.0999
2023-S2,MK,EUR,X_VAT,TOT_KWH,0.1005
2024-S1,MK,EUR,X_VAT,TOT_KWH,0.0985
2021-S2,GE,EUR,X_VAT,TOT_KWH,0.0529
2022-S2,GE,EUR,X_VAT,TOT_KWH,0.0693
2023-S1,GE,EUR,X_VAT,TOT_KWH,0.069
2023-S2,GE,EUR,X_VAT,TOT_KWH,0.0701
2024-S1,GE,EUR,X_VAT,TOT_KWH,0.0561
2022-S2,AL,EUR,X_VAT,TOT_KWH,0.0813
2023-S1,AL,EUR,X_VAT,TOT_KWH,0.0842
2021-S2,RS,EUR,X_VAT,TOT_KWH,0.0713
2022-S1,RS,EUR,X_VAT,TOT_KWH,0.0712
2022-S2,RS,EUR,X_VAT,TOT_KWH,0.0774
2023-S1,RS,EUR,X_VAT,TOT_KWH,0.0861
2023-S2,RS,EUR,X_VAT,TOT_KWH,0.0942
2024-S1,RS,EUR,X_VAT,TOT_KWH,0.0974
2021-S2,TR,EUR,X_VAT,TOT_KWH,0.0668
2022-S1,TR,EUR,X_VAT,TOT_KWH,0.0765
2022-S2,TR,EUR,X_VAT,TOT_KWH,0.0869
2023-S2,TR,EUR,X_VAT,TOT_KWH,0.0507
2024-S1,TR,EUR,X_VAT,TOT_KWH,0.0442
2021-S2,XK,EUR,X_VAT,TOT_KWH,0.0554
2022-S1,XK,EUR,X_VAT,TOT_KWH,0.0593
2022-S2,XK,EUR,X_VAT,TOT_KWH,0.0643
2023-S1,XK,EUR,X_VAT,TOT_KWH,0.0673
2023-S2,XK,EUR,X_VAT,TOT_KWH,0.0745
2024-S1,XK,EUR,X_VAT,TOT_KWH,0.0743
2021-S2,BE,PPS,X_VAT,TOT_KWH,0.2238
2022-S1,BE,PPS,X_VAT,TOT_KWH,0.2791
2022-S2,BE,PPS,X_VAT,TOT_KWH,0.3837
2023-S1,BE,PPS,X_VAT,TOT_KWH,0.366
2023-S2,BE,PPS,X_VAT,TOT_KWH,0.3181
2024-S1,BE,PPS,X_VAT,TOT_KWH,0.2815
2021-S2,BG,PPS,X_VAT,TOT_KWH,0.1647
2022-S1,BG,PPS,X_VAT,TOT_KWH,0.1647
2022-S2,BG,PPS,X_VAT,TOT_KWH,0.1727
2023-S1,BG,PPS,X_VAT,TOT_KWH,0.157
2023-S2,BG,PPS,X_VAT,TOT_KWH,0.1651
2024-S1,BG,PPS,X_VAT,TOT_KWH,0.1636
2021-S2,CZ,PPS,X_VAT,TOT_KWH,0.2157
2022-S1,CZ,PPS,X_VAT,TOT_KWH,0.2376
2022-S2,CZ,PPS,X_VAT,TOT_KWH,0.14
2023-S1,CZ,PPS,X_VAT,TOT_KWH,0.3004
2023-S2,CZ,PPS,X_VAT,TOT_KWH,0.3074
2024-S1,CZ,PPS,X_VAT,TOT_KWH,0.3359
2021-S2,DK,PPS,X_VAT,TOT_KWH,0.173
2022-S1,DK,PPS,X_VAT,TOT_KWH,0.2381
2022-S2,DK,PPS,X_VAT,TOT_KWH,0.3211
2023-S1,DK,PPS,X_VAT,TOT_KWH,0.2287
2023-S2,DK,PPS,X_VAT,TOT_KWH,0.185
2024-S1,DK,PPS,X_VAT,TOT_KWH,0.1949
2021-S2,DE,PPS,X_VAT,TOT_KWH,0.2487
2022-S1,DE,PPS,X_VAT,TOT_KWH,0.2533
2022-S2,DE,PPS,X_VAT,TOT_KWH,0.263
2023-S1,DE,PPS,X_VAT,TOT_KWH,0.3175
2023-S2,DE,PPS,X_VAT,TOT_KWH,0.3127
2024-S1,DE,PPS,X_VAT,TOT_KWH,0.3064
2021-S2,EE,PPS,X_VAT,TOT_KWH,0.1994
2022-S1,EE,PPS,X_VAT,TOT_KWH,0.2067
2022-S2,EE,PPS,X_VAT,TOT_KWH,0.2421
2023-S1,EE,PPS,X_VAT,TOT_KWH,0.1957
2023-S2,EE,PPS,X_VAT,TOT_KWH,0.2036
2024-S1,EE,PPS,X_VAT,TOT_KWH,0.1963
2020-S2,IE,PPS,X_VAT,TOT_KWH,0.1817
2021-S1,IE,PPS,X_VAT,TOT_KWH,0.1797
2021-S2,IE,PPS,X_VAT,TOT_KWH,0.2058
2022-S1,IE,PPS,X_VAT,TOT_KWH,0.1721
2022-S2,IE,PPS,X_VAT,TOT_KWH,0.2449
2023-S1,IE,PPS,X_VAT,TOT_KWH,0.2113
2023-S2,IE,PPS,X_VAT,TOT_KWH,0.289
2024-S1,IE,PPS,X_VAT,TOT_KWH,0.2712
2021-S2,EL,PPS,X_VAT,TOT_KWH,0.2399
2022-S1,EL,PPS,X_VAT,TOT_KWH,0.2682
2022-S2,EL,PPS,X_VAT,TOT_KWH,0.2974
2023-S1,EL,PPS,X_VAT,TOT_KWH,0.286
2023-S2,EL,PPS,X_VAT,TOT_KWH,0.2834
2024-S1,EL,PPS,X_VAT,TOT_KWH,0.2735
2021-S2,ES,PPS,X_VAT,TOT_KWH,0.2737
2022-S1,ES,PPS,X_VAT,TOT_KWH,0.3125
2022-S2,ES,PPS,X_VAT,TOT_KWH,0.3439
2023-S1,ES,PPS,X_VAT,TOT_KWH,0.2661
2023-S2,ES,PPS,X_VAT,TOT_KWH,0.2581
2024-S1,ES,PPS,X_VAT,TOT_KWH,0.2556
2021-S2,FR,PPS,X_VAT,TOT_KWH,0.1552
2022-S1,FR,PPS,X_VAT,TOT_KWH,0.1613
2022-S2,FR,PPS,X_VAT,TOT_KWH,0.1665
2023-S1,FR,PPS,X_VAT,TOT_KWH,0.175
2023-S2,FR,PPS,X_VAT,TOT_KWH,0.1981
2024-S1,FR,PPS,X_VAT,TOT_KWH,0.2148
2021-S2,HR,PPS,X_VAT,TOT_KWH,0.1795
2022-S1,HR,PPS,X_VAT,TOT_KWH,0.1876
2022-S2,HR,PPS,X_VAT,TOT_KWH,0.2028
2023-S1,HR,PPS,X_VAT,TOT_KWH,0.2069
2023-S2,HR,PPS,X_VAT,TOT_KWH,0.2027
2024-S1,HR,PPS,X_VAT,TOT_KWH,0.1972
2021-S2,IT,PPS,X_VAT,TOT_KWH,0.2424
2022-S1,IT,PPS,X_VAT,TOT_KWH,0.3117
2022-S2,IT,PPS,X_VAT,TOT_KWH,0.368
2023-S1,IT,PPS,X_VAT,TOT_KWH,0.3874
2023-S2,IT,PPS,X_VAT,TOT_KWH,0.3425
2024-S1,IT,PPS,X_VAT,TOT_KWH,0.3409
2021-S2,CY,PPS,X_VAT,TOT_KWH,0.2133
2022-S1,CY,PPS,X_VAT,TOT_KWH,0.2554
2022-S2,CY,PPS,X_VAT,TOT_KWH,0.3152
2023-S1,CY,PPS,X_VAT,TOT_KWH,0.3485
2023-S2,CY,PPS,X_VAT,TOT_KWH,0.3253
2024-S1,CY,PPS,X_VAT,TOT_KWH,0.3085
2021-S2,LV,PPS,X_VAT,TOT_KWH,0.2136
2022-S1,LV,PPS,X_VAT,TOT_KWH,0.1898
2022-S2,LV,PPS,X_VAT,TOT_KWH,0.3245
2023-S1,LV,PPS,X_VAT,TOT_KWH,0.3272
2023-S2,LV,PPS,X_VAT,TOT_KWH,0.3138
2024-S1,LV,PPS,X_VAT,TOT_KWH,0.2813
2021-S2,LT,PPS,X_VAT,TOT_KWH,0.1783
2022-S1,LT,PPS,X_VAT,TOT_KWH,0.1796
2022-S2,LT,PPS,X_VAT,TOT_KWH,0.2961
2023-S1,LT,PPS,X_VAT,TOT_KWH,0.3204
2023-S2,LT,PPS,X_VAT,TOT_KWH,0.254
2024-S1,LT,PPS,X_VAT,TOT_KWH,0.2534
2021-S2,LU,PPS,X_VAT,TOT_KWH,0.138
2022-S1,LU,PPS,X_VAT,TOT_KWH,0.14
2022-S2,LU,PPS,X_VAT,TOT_KWH,0.139
2023-S1,LU,PPS,X_VAT,TOT_KWH,0.1359
2023-S2,LU,PPS,X_VAT,TOT_KWH,0.1349
2024-S1,LU,PPS,X_VAT,TOT_KWH,0.1348
2021-S1,HU,PPS,X_VAT,TOT_KWH,0.1215
2021-S2,HU,PPS,X_VAT,TOT_KWH,0.122
2022-S1,HU,PPS,X_VAT,TOT_KWH,0.1105
2022-S2,HU,PPS,X_VAT,TOT_KWH,0.1384
2023-S1,HU,PPS,X_VAT,TOT_KWH,0.14
2023-S2,HU,PPS,X_VAT,TOT_KWH,0.1322
2024-S1,HU,PPS,X_VAT,TOT_KWH,0.1229
2021-S2,MT,PPS,X_VAT,TOT_KWH,0.1705
2022-S1,MT,PPS,X_VAT,TOT_KWH,0.1704
2022-S2,MT,PPS,X_VAT,TOT_KWH,0.162
2023-S1,MT,PPS,X_VAT,TOT_KWH,0.156
2023-S2,MT,PPS,X_VAT,TOT_KWH,0.1562
2021-S2,NL,PPS,X_VAT,TOT_KWH,0.0983
2022-S1,NL,PPS,X_VAT,TOT_KWH,0.0143
2022-S2,NL,PPS,X_VAT,TOT_KWH,0.0771
2023-S1,NL,PPS,X_VAT,TOT_KWH,0.2547
2023-S2,NL,PPS,X_VAT,TOT_KWH,0.1494
2024-S1,NL,PPS,X_VAT,TOT_KWH,0.176
2021-S2,AT,PPS,X_VAT,TOT_KWH,0.1625
2022-S1,AT,PPS,X_VAT,TOT_KWH,0.1588
2022-S2,AT,PPS,X_VAT,TOT_KWH,0.1721
2023-S1,AT,PPS,X_VAT,TOT_KWH,0.2023
2023-S2,AT,PPS,X_VAT,TOT_KWH,0.2141
2024-S1,AT,PPS,X_VAT,TOT_KWH,0.2094
2021-S2,PL,PPS,X_VAT,TOT_KWH,0.2242
2022-S1,PL,PPS,X_VAT,TOT_KWH,0.2304
2022-S2,PL,PPS,X_VAT,TOT_KWH,0.2626
2023-S1,PL,PPS,X_VAT,TOT_KWH,0.2583
2023-S2,PL,PPS,X_VAT,TOT_KWH,0.2884
2021-S2,PT,PPS,X_VAT,TOT_KWH,0.2243
2022-S1,PT,PPS,X_VAT,TOT_KWH,0.2265
2022-S2,PT,PPS,X_VAT,TOT_KWH,0.2303
2023-S1,PT,PPS,X_VAT,TOT_KWH,0.2173
2023-S2,PT,PPS,X_VAT,TOT_KWH,0.2408
2021-S2,RO,PPS,X_VAT,TOT_KWH,0.2556
2022-S1,RO,PPS,X_VAT,TOT_KWH,0.3497
2022-S2,RO,PPS,X_VAT,TOT_KWH,0.5126
2023-S1,RO,PPS,X_VAT,TOT_KWH,0.2707
2023-S2,RO,PPS,X_VAT,TOT_KWH,0.2692
2024-S1,RO,PPS,X_VAT,TOT_KWH,0.2638
2021-S2,SI,PPS,X_VAT,TOT_KWH,0.1583
2022-S1,SI,PPS,X_VAT,TOT_KWH,0.1299
2022-S2,SI,PPS,X_VAT,TOT_KWH,0.1915
2023-S1,SI,PPS,X_VAT,TOT_KWH,0.1964
2023-S2,SI,PPS,X_VAT,TOT_KWH,0.1991
2024-S1,SI,PPS,X_VAT,TOT_KWH,0.1965
2021-S2,SK,PPS,X_VAT,TOT_KWH,0.1678
2022-S1,SK,PPS,X_VAT,TOT_KWH,0.1847
2022-S2,SK,PPS,X_VAT,TOT_KWH,0.1959
2023-S1,SK,PPS,X_VAT,TOT_KWH,0.1919
2023-S2,SK,PPS,X_VAT,TOT_KWH,0.2067
2024-S1,SK,PPS,X_VAT,TOT_KWH,0.186
2021-S2,FI,PPS,X_VAT,TOT_KWH,0.1042
2022-S1,FI,PPS,X_VAT,TOT_KWH,0.108
2022-S2,FI,PPS,X_VAT,TOT_KWH,0.1346
2023-S1,FI,PPS,X_VAT,TOT_KWH,0.1357
2023-S2,FI,PPS,X_VAT,TOT_KWH,0.1328
2024-S1,FI,PPS,X_VAT,TOT_KWH,0.1395
2020-S1,SE,PPS,X_VAT,TOT_KWH,0.0983
2020-S2,SE,PPS,X_VAT,TOT_KWH,0.1029
2021-S1,SE,PPS,X_VAT,TOT_KWH,0.1046
2021-S2,SE,PPS,X_VAT,TOT_KWH,0.1248
2022-S1,SE,PPS,X_VAT,TOT_KWH,0.1068
2022-S2,SE,PPS,X_VAT,TOT_KWH,0.133
2023-S1,SE,PPS,X_VAT,TOT_KWH,0.1462
2023-S2,SE,PPS,X_VAT,TOT_KWH,0.129
2024-S1,SE,PPS,X_VAT,TOT_KWH,0.1369
2021-S2,IS,PPS,X_VAT,TOT_KWH,0.06
2022-S1,IS,PPS,X_VAT,TOT_KWH,0.0626
2022-S2,IS,PPS,X_VAT,TOT_KWH,0.0644
2023-S1,IS,PPS,X_VAT,TOT_KWH,0.0699
2023-S2,IS,PPS,X_VAT,TOT_KWH,0.07
2021-S2,NO,PPS,X_VAT,TOT_KWH,0.1051
2022-S1,NO,PPS,X_VAT,TOT_KWH,0.0841
2022-S2,NO,PPS,X_VAT,TOT_KWH,0.0942
2023-S1,NO,PPS,X_VAT,TOT_KWH,0.0908
2023-S2,NO,PPS,X_VAT,TOT_KWH,0.0844
2021-S2,BA,PPS,X_VAT,TOT_KWH,0.1417
2022-S1,BA,PPS,X_VAT,TOT_KWH,0.1464
2022-S2,BA,PPS,X_VAT,TOT_KWH,0.1468
2023-S1,BA,PPS,X_VAT,TOT_KWH,0.1446
2023-S2,BA,PPS,X_VAT,TOT_KWH,0.1365
2024-S1,BA,PPS,X_VAT,TOT_KWH,0.1421
2021-S2,ME,PPS,X_VAT,TOT_KWH,0.1647
2022-S1,ME,PPS,X_VAT,TOT_KWH,0.163
2022-S2,ME,PPS,X_VAT,TOT_KWH,0.1681
2023-S1,ME,PPS,X_VAT,TOT_KWH,0.1555
2023-S2,ME,PPS,X_VAT,TOT_KWH,0.1525
2024-S1,ME,PPS,X_VAT,TOT_KWH,0.1489
2021-S2,MK,PPS,X_VAT,TOT_KWH,0.1684
2022-S1,MK,PPS,X_VAT,TOT_KWH,0.1874
2022-S2,MK,PPS,X_VAT,TOT_KWH,0.2162
2023-S1,MK,PPS,X_VAT,TOT_KWH,0.2091
2023-S2,MK,PPS,X_VAT,TOT_KWH,0.2115
2024-S1,MK,PPS,X_VAT,TOT_KWH,0.2034
2022-S2,AL,PPS,X_VAT,TOT_KWH,0.1482
2023-S1,AL,PPS,X_VAT,TOT_KWH,0.1491
2021-S2,RS,PPS,X_VAT,TOT_KWH,0.1309
2022-S1,RS,PPS,X_VAT,TOT_KWH,0.1307
2022-S2,RS,PPS,X_VAT,TOT_KWH,0.142
2023-S1,RS,PPS,X_VAT,TOT_KWH,0.1497
2023-S2,RS,PPS,X_VAT,TOT_KWH,0.1612
2024-S1,RS,PPS,X_VAT,TOT_KWH,0.1589
2021-S2,TR,PPS,X_VAT,TOT_KWH,0.1836
2022-S1,TR,PPS,X_VAT,TOT_KWH,0.2987
2022-S2,TR,PPS,X_VAT,TOT_KWH,0.2221
2023-S2,TR,PPS,X_VAT,TOT_KWH,0.2044
2024-S1,TR,PPS,X_VAT,TOT_KWH,0.1357
2021-S2,BE,EUR,I_TAX,TOT_KWH,0.3002
