TIME,GEO,COFOG99,UNIT,VALUE
2001,CZ,TOTAL,PC_GDP,43.3
2002,CZ,TOTAL,PC_GDP,44.7
2003,CZ,TOTAL,PC_GDP,49.1
2004,CZ,TOTAL,PC_GDP,42.3
2005,CZ,TOTAL,PC_GDP,42.4
2006,CZ,TOTAL,PC_GDP,41.5
2007,CZ,TOTAL,PC_GDP,40.4
2008,CZ,TOTAL,PC_GDP,40.9
2009,CZ,TOTAL,PC_GDP,44.4
2010,CZ,TOTAL,PC_GDP,43.6
2011,CZ,TOTAL,PC_GDP,43.2
2012,CZ,TOTAL,PC_GDP,44.7
2013,CZ,TOTAL,PC_GDP,42.7
2014,CZ,TOTAL,PC_GDP,42.6
2015,CZ,TOTAL,PC_GDP,41.9
2016,CZ,TOTAL,PC_GDP,39.8
2017,CZ,TOTAL,PC_GDP,39
2018,CZ,TOTAL,PC_GDP,40.6
2019,CZ,TOTAL,PC_GDP,41.1
2020,CZ,TOTAL,PC_GDP,47.2
2021,CZ,TOTAL,PC_GDP,46.5
2022,CZ,TOTAL,PC_GDP,44.6
2000,DK,TOTAL,PC_GDP,52.7
2001,DK,TOTAL,PC_GDP,52.8
2002,DK,TOTAL,PC_GDP,53.2
2003,DK,TOTAL,PC_GDP,53.6
2004,DK,TOTAL,PC_GDP,53
2005,DK,TOTAL,PC_GDP,51.2
2006,DK,TOTAL,PC_GDP,49.8
2007,DK,TOTAL,PC_GDP,49.6
2008,DK,TOTAL,PC_GDP,50.4
2009,DK,TOTAL,PC_GDP,56.5
2010,DK,TOTAL,PC_GDP,56.7
2011,DK,TOTAL,PC_GDP,56.4
2012,DK,TOTAL,PC_GDP,58
2013,DK,TOTAL,PC_GDP,55.8
2014,DK,TOTAL,PC_GDP,55.2
2015,DK,TOTAL,PC_GDP,54.5
2016,DK,TOTAL,PC_GDP,52.5
2017,DK,TOTAL,PC_GDP,50.5
2018,DK,TOTAL,PC_GDP,50.5
2019,DK,TOTAL,PC_GDP,49.7
2020,DK,TOTAL,PC_GDP,53.5
2021,DK,TOTAL,PC_GDP,49.8
2022,DK,TOTAL,PC_GDP,45
2000,DE,TOTAL,PC_GDP,47.8
2001,DE,TOTAL,PC_GDP,47.4
2002,DE,TOTAL,PC_GDP,47.9
2003,DE,TOTAL,PC_GDP,48.3
2004,DE,TOTAL,PC_GDP,46.8
2005,DE,TOTAL,PC_GDP,46.8
2006,DE,TOTAL,PC_GDP,45.2
2007,DE,TOTAL,PC_GDP,43.4
2008,DE,TOTAL,PC_GDP,44.2
2009,DE,TOTAL,PC_GDP,48.2
2010,DE,TOTAL,PC_GDP,48.1
2011,DE,TOTAL,PC_GDP,45.2
2012,DE,TOTAL,PC_GDP,44.9
2013,DE,TOTAL,PC_GDP,44.9
2014,DE,TOTAL,PC_GDP,44.3
2015,DE,TOTAL,PC_GDP,44.1
2016,DE,TOTAL,PC_GDP,44.4
2017,DE,TOTAL,PC_GDP,44.2
2018,DE,TOTAL,PC_GDP,44.3
2019,DE,TOTAL,PC_GDP,45
2020,DE,TOTAL,PC_GDP,50.5
2021,DE,TOTAL,PC_GDP,50.9
2022,DE,TOTAL,PC_GDP,49.5
2000,EE,TOTAL,PC_GDP,36.4
2001,EE,TOTAL,PC_GDP,35
2002,EE,TOTAL,PC_GDP,35.9
2003,EE,TOTAL,PC_GDP,35
2004,EE,TOTAL,PC_GDP,34.1
2005,EE,TOTAL,PC_GDP,33.7
2006,EE,TOTAL,PC_GDP,33.4
2007,EE,TOTAL,PC_GDP,33.7
2008,EE,TOTAL,PC_GDP,39.5
2009,EE,TOTAL,PC_GDP,45.9
2010,EE,TOTAL,PC_GDP,40.3
2011,EE,TOTAL,PC_GDP,37.4
2012,EE,TOTAL,PC_GDP,39.2
2013,EE,TOTAL,PC_GDP,38.4
2014,EE,TOTAL,PC_GDP,37.8
2015,EE,TOTAL,PC_GDP,39.5
2016,EE,TOTAL,PC_GDP,39.4
2017,EE,TOTAL,PC_GDP,39.2
2018,EE,TOTAL,PC_GDP,39.3
2019,EE,TOTAL,PC_GDP,39.1
2020,EE,TOTAL,PC_GDP,44.9
2021,EE,TOTAL,PC_GDP,41.9
2022,EE,TOTAL,PC_GDP,39.8
2000,IE,TOTAL,PC_GDP,30.6
2001,IE,TOTAL,PC_GDP,32.2
2002,IE,TOTAL,PC_GDP,32.9
2003,IE,TOTAL,PC_GDP,32.7
2004,IE,TOTAL,PC_GDP,32.8
2005,IE,TOTAL,PC_GDP,33
2006,IE,TOTAL,PC_GDP,33.6
2007,IE,TOTAL,PC_GDP,35.6
2008,IE,TOTAL,PC_GDP,41.6
2009,IE,TOTAL,PC_GDP,46.9
2010,IE,TOTAL,PC_GDP,64.9
2011,IE,TOTAL,PC_GDP,47.2
2012,IE,TOTAL,PC_GDP,42.6
2013,IE,TOTAL,PC_GDP,40.6
2014,IE,TOTAL,PC_GDP,37.5
2015,IE,TOTAL,PC_GDP,29
2016,IE,TOTAL,PC_GDP,28.1
2017,IE,TOTAL,PC_GDP,26.1
2018,IE,TOTAL,PC_GDP,25.3
2019,IE,TOTAL,PC_GDP,24.3
2020,IE,TOTAL,PC_GDP,27.2
2021,IE,TOTAL,PC_GDP,24.4
2022,IE,TOTAL,PC_GDP,21.2
2000,EL,TOTAL,PC_GDP,46.4
2001,EL,TOTAL,PC_GDP,46
2002,EL,TOTAL,PC_GDP,45.8
2003,EL,TOTAL,PC_GDP,46.6
2004,EL,TOTAL,PC_GDP,47.6
2005,EL,TOTAL,PC_GDP,45.6
2006,EL,TOTAL,PC_GDP,45.1
2007,EL,TOTAL,PC_GDP,47.1
2008,EL,TOTAL,PC_GDP,50.8
2009,EL,TOTAL,PC_GDP,54.1
2010,EL,TOTAL,PC_GDP,53
2011,EL,TOTAL,PC_GDP,55.1
2012,EL,TOTAL,PC_GDP,57.2
2013,EL,TOTAL,PC_GDP,63.2
2014,EL,TOTAL,PC_GDP,51.2
2015,EL,TOTAL,PC_GDP,54.5
2016,EL,TOTAL,PC_GDP,50.3
2017,EL,TOTAL,PC_GDP,48.7
2018,EL,TOTAL,PC_GDP,48.9
2019,EL,TOTAL,PC_GDP,48.1
2020,EL,TOTAL,PC_GDP,60.2
2021,EL,TOTAL,PC_GDP,57.7
2022,EL,TOTAL,PC_GDP,52.9
2000,ES,TOTAL,PC_GDP,39.1
2001,ES,TOTAL,PC_GDP,38.4
2002,ES,TOTAL,PC_GDP,38.6
2003,ES,TOTAL,PC_GDP,38.4
2004,ES,TOTAL,PC_GDP,38.8
2005,ES,TOTAL,PC_GDP,38.5
2006,ES,TOTAL,PC_GDP,38.4
2007,ES,TOTAL,PC_GDP,39.3
2008,ES,TOTAL,PC_GDP,41.4
2009,ES,TOTAL,PC_GDP,46.2
2010,ES,TOTAL,PC_GDP,46
2011,ES,TOTAL,PC_GDP,46.2
2012,ES,TOTAL,PC_GDP,49.5
2013,ES,TOTAL,PC_GDP,46.4
2014,ES,TOTAL,PC_GDP,45.3
2015,ES,TOTAL,PC_GDP,44
2016,ES,TOTAL,PC_GDP,42.5
2017,ES,TOTAL,PC_GDP,41.3
2018,ES,TOTAL,PC_GDP,41.8
2019,ES,TOTAL,PC_GDP,42.3
2020,ES,TOTAL,PC_GDP,51.9
2021,ES,TOTAL,PC_GDP,50
2022,ES,TOTAL,PC_GDP,47.4
2000,FR,TOTAL,PC_GDP,51.7
2001,FR,TOTAL,PC_GDP,51.7
2002,FR,TOTAL,PC_GDP,52.8
2003,FR,TOTAL,PC_GDP,53.3
2004,FR,TOTAL,PC_GDP,53
2005,FR,TOTAL,PC_GDP,53.3
2006,FR,TOTAL,PC_GDP,52.9
2007,FR,TOTAL,PC_GDP,52.6
2008,FR,TOTAL,PC_GDP,53.3
2009,FR,TOTAL,PC_GDP,57.2
2010,FR,TOTAL,PC_GDP,56.9
2011,FR,TOTAL,PC_GDP,56.3
2012,FR,TOTAL,PC_GDP,57.1
2013,FR,TOTAL,PC_GDP,57.2
2014,FR,TOTAL,PC_GDP,57.2
2015,FR,TOTAL,PC_GDP,56.8
2016,FR,TOTAL,PC_GDP,56.7
2017,FR,TOTAL,PC_GDP,56.5
2018,FR,TOTAL,PC_GDP,55.6
2019,FR,TOTAL,PC_GDP,55.4
2020,FR,TOTAL,PC_GDP,61.3
2021,FR,TOTAL,PC_GDP,59.1
2022,FR,TOTAL,PC_GDP,58.3
2000,HR,TOTAL,PC_GDP,54.6
2001,HR,TOTAL,PC_GDP,50.6
2002,HR,TOTAL,PC_GDP,48.8
2003,HR,TOTAL,PC_GDP,49.2
2004,HR,TOTAL,PC_GDP,48.5
2005,HR,TOTAL,PC_GDP,46
2006,HR,TOTAL,PC_GDP,44.2
2007,HR,TOTAL,PC_GDP,45.9
2008,HR,TOTAL,PC_GDP,45.9
2009,HR,TOTAL,PC_GDP,49
2010,HR,TOTAL,PC_GDP,47.9
2011,HR,TOTAL,PC_GDP,48.4
2012,HR,TOTAL,PC_GDP,47.2
2013,HR,TOTAL,PC_GDP,48
2014,HR,TOTAL,PC_GDP,48.8
2015,HR,TOTAL,PC_GDP,47.6
2016,HR,TOTAL,PC_GDP,46
2017,HR,TOTAL,PC_GDP,44.3
2018,HR,TOTAL,PC_GDP,45.3
2019,HR,TOTAL,PC_GDP,46.2
2020,HR,TOTAL,PC_GDP,54
2021,HR,TOTAL,PC_GDP,48.6
2022,HR,TOTAL,PC_GDP,44.9
2000,IT,TOTAL,PC_GDP,46.5
2001,IT,TOTAL,PC_GDP,47.3
2002,IT,TOTAL,PC_GDP,46.7
2003,IT,TOTAL,PC_GDP,47.2
2004,IT,TOTAL,PC_GDP,46.9
2005,IT,TOTAL,PC_GDP,47.2
2006,IT,TOTAL,PC_GDP,47.8
2007,IT,TOTAL,PC_GDP,46.8
2008,IT,TOTAL,PC_GDP,47.8
2009,IT,TOTAL,PC_GDP,51.1
2010,IT,TOTAL,PC_GDP,49.9
2011,IT,TOTAL,PC_GDP,49.2
2012,IT,TOTAL,PC_GDP,50.6
2013,IT,TOTAL,PC_GDP,51
2014,IT,TOTAL,PC_GDP,50.9
2015,IT,TOTAL,PC_GDP,50.3
2016,IT,TOTAL,PC_GDP,49.1
2017,IT,TOTAL,PC_GDP,48.8
2018,IT,TOTAL,PC_GDP,48.4
2019,IT,TOTAL,PC_GDP,48.5
2020,IT,TOTAL,PC_GDP,57
2021,IT,TOTAL,PC_GDP,56.3
2022,IT,TOTAL,PC_GDP,56.1
2000,CY,TOTAL,PC_GDP,34.4
2001,CY,TOTAL,PC_GDP,35.3
2002,CY,TOTAL,PC_GDP,37
2003,CY,TOTAL,PC_GDP,40.5
2004,CY,TOTAL,PC_GDP,38.5
2005,CY,TOTAL,PC_GDP,39.3
2006,CY,TOTAL,PC_GDP,38.7
2007,CY,TOTAL,PC_GDP,37.6
2008,CY,TOTAL,PC_GDP,38.4
2009,CY,TOTAL,PC_GDP,42.1
2010,CY,TOTAL,PC_GDP,41.7
2011,CY,TOTAL,PC_GDP,42.1
2012,CY,TOTAL,PC_GDP,42.1
2013,CY,TOTAL,PC_GDP,42.8
2014,CY,TOTAL,PC_GDP,49.3
2015,CY,TOTAL,PC_GDP,40.4
2016,CY,TOTAL,PC_GDP,37.3
2017,CY,TOTAL,PC_GDP,36.4
2018,CY,TOTAL,PC_GDP,42.6
2019,CY,TOTAL,PC_GDP,38.5
2020,CY,TOTAL,PC_GDP,44.2
2021,CY,TOTAL,PC_GDP,41.9
2022,CY,TOTAL,PC_GDP,38.8
2000,LV,TOTAL,PC_GDP,37.1
2001,LV,TOTAL,PC_GDP,34.7
2002,LV,TOTAL,PC_GDP,35
2003,LV,TOTAL,PC_GDP,33.8
2004,LV,TOTAL,PC_GDP,35.1
2005,LV,TOTAL,PC_GDP,34.8
2006,LV,TOTAL,PC_GDP,36.5
2007,LV,TOTAL,PC_GDP,34.5
2008,LV,TOTAL,PC_GDP,38.3
2009,LV,TOTAL,PC_GDP,45.1
2010,LV,TOTAL,PC_GDP,45.8
2011,LV,TOTAL,PC_GDP,42.3
2012,LV,TOTAL,PC_GDP,38.8
2013,LV,TOTAL,PC_GDP,38.5
2014,LV,TOTAL,PC_GDP,39
2015,LV,TOTAL,PC_GDP,38.7
2016,LV,TOTAL,PC_GDP,37.5
2017,LV,TOTAL,PC_GDP,38.2
2018,LV,TOTAL,PC_GDP,39.3
2019,LV,TOTAL,PC_GDP,38.4
2020,LV,TOTAL,PC_GDP,42.5
2021,LV,TOTAL,PC_GDP,44.7
2022,LV,TOTAL,PC_GDP,40.4
2000,LT,TOTAL,PC_GDP,39.4
2001,LT,TOTAL,PC_GDP,37.1
2002,LT,TOTAL,PC_GDP,35.2
2003,LT,TOTAL,PC_GDP,33.6
2004,LT,TOTAL,PC_GDP,34.1
2005,LT,TOTAL,PC_GDP,34.1
2006,LT,TOTAL,PC_GDP,34.3
2007,LT,TOTAL,PC_GDP,35.3
2008,LT,TOTAL,PC_GDP,38.1
2009,LT,TOTAL,PC_GDP,45
2010,LT,TOTAL,PC_GDP,42.4
2011,LT,TOTAL,PC_GDP,42.5
2012,LT,TOTAL,PC_GDP,36.2
2013,LT,TOTAL,PC_GDP,35.6
2014,LT,TOTAL,PC_GDP,34.7
2015,LT,TOTAL,PC_GDP,35.2
2016,LT,TOTAL,PC_GDP,34.2
2017,LT,TOTAL,PC_GDP,33.2
2018,LT,TOTAL,PC_GDP,34
2019,LT,TOTAL,PC_GDP,34.8
2020,LT,TOTAL,PC_GDP,42.7
2021,LT,TOTAL,PC_GDP,37.4
2022,LT,TOTAL,PC_GDP,36.4
2000,LU,TOTAL,PC_GDP,38
2001,LU,TOTAL,PC_GDP,38.1
2002,LU,TOTAL,PC_GDP,41.8
2003,LU,TOTAL,PC_GDP,43.3
2004,LU,TOTAL,PC_GDP,43.7
2005,LU,TOTAL,PC_GDP,43.4
2006,LU,TOTAL,PC_GDP,39.4
2007,LU,TOTAL,PC_GDP,37.4
2008,LU,TOTAL,PC_GDP,37.9
2009,LU,TOTAL,PC_GDP,42.7
2010,LU,TOTAL,PC_GDP,42
2011,LU,TOTAL,PC_GDP,41.5
2012,LU,TOTAL,PC_GDP,41.8
2013,LU,TOTAL,PC_GDP,41.2
2014,LU,TOTAL,PC_GDP,40.6
2015,LU,TOTAL,PC_GDP,40.4
2016,LU,TOTAL,PC_GDP,40
2017,LU,TOTAL,PC_GDP,41.3
2018,LU,TOTAL,PC_GDP,42.3
2019,LU,TOTAL,PC_GDP,43.1
2020,LU,TOTAL,PC_GDP,47
2021,LU,TOTAL,PC_GDP,42.9
2022,LU,TOTAL,PC_GDP,43.9
2000,HU,TOTAL,PC_GDP,47.3
2001,HU,TOTAL,PC_GDP,47.3
2002,HU,TOTAL,PC_GDP,51
2003,HU,TOTAL,PC_GDP,49.1
2004,HU,TOTAL,PC_GDP,48.7
2005,HU,TOTAL,PC_GDP,49.3
2006,HU,TOTAL,PC_GDP,51.4
2007,HU,TOTAL,PC_GDP,49.9
2008,HU,TOTAL,PC_GDP,48.7
2009,HU,TOTAL,PC_GDP,50.6
2010,HU,TOTAL,PC_GDP,48.8
2011,HU,TOTAL,PC_GDP,49.1
2012,HU,TOTAL,PC_GDP,49.1
2013,HU,TOTAL,PC_GDP,50.1
2014,HU,TOTAL,PC_GDP,50
2015,HU,TOTAL,PC_GDP,50.4
2016,HU,TOTAL,PC_GDP,46.8
2017,HU,TOTAL,PC_GDP,46.7
2018,HU,TOTAL,PC_GDP,46.1
2019,HU,TOTAL,PC_GDP,46.1
2020,HU,TOTAL,PC_GDP,51.4
2021,HU,TOTAL,PC_GDP,48.4
2022,HU,TOTAL,PC_GDP,48.8
2000,MT,TOTAL,PC_GDP,40.1
2001,MT,TOTAL,PC_GDP,41.5
2002,MT,TOTAL,PC_GDP,41.4
2003,MT,TOTAL,PC_GDP,44.9
2004,MT,TOTAL,PC_GDP,41.9
2005,MT,TOTAL,PC_GDP,42.4
2006,MT,TOTAL,PC_GDP,42.2
2007,MT,TOTAL,PC_GDP,40.9
2008,MT,TOTAL,PC_GDP,42.2
2009,MT,TOTAL,PC_GDP,41.2
2010,MT,TOTAL,PC_GDP,40.2
2011,MT,TOTAL,PC_GDP,42
2012,MT,TOTAL,PC_GDP,42.1
2013,MT,TOTAL,PC_GDP,40.8
2014,MT,TOTAL,PC_GDP,40.3
2015,MT,TOTAL,PC_GDP,38.5
2016,MT,TOTAL,PC_GDP,36.4
2017,MT,TOTAL,PC_GDP,34.5
2018,MT,TOTAL,PC_GDP,36
2019,MT,TOTAL,PC_GDP,35.7
2020,MT,TOTAL,PC_GDP,45.3
2021,MT,TOTAL,PC_GDP,42.9
2022,MT,TOTAL,PC_GDP,39.3
2000,NL,TOTAL,PC_GDP,42.4
2001,NL,TOTAL,PC_GDP,43.1
2002,NL,TOTAL,PC_GDP,43.7
2003,NL,TOTAL,PC_GDP,44.7
2004,NL,TOTAL,PC_GDP,43.7
2005,NL,TOTAL,PC_GDP,42.6
2006,NL,TOTAL,PC_GDP,43.4
2007,NL,TOTAL,PC_GDP,42.7
2008,NL,TOTAL,PC_GDP,43.5
2009,NL,TOTAL,PC_GDP,47.9
2010,NL,TOTAL,PC_GDP,48.2
2011,NL,TOTAL,PC_GDP,47.1
2012,NL,TOTAL,PC_GDP,47
2013,NL,TOTAL,PC_GDP,46.8
2014,NL,TOTAL,PC_GDP,46.1
2015,NL,TOTAL,PC_GDP,44.8
2016,NL,TOTAL,PC_GDP,43.6
2017,NL,TOTAL,PC_GDP,42.5
2018,NL,TOTAL,PC_GDP,42.3
2019,NL,TOTAL,PC_GDP,42.1
2020,NL,TOTAL,PC_GDP,47.8
2021,NL,TOTAL,PC_GDP,46
2022,NL,TOTAL,PC_GDP,43.5
2000,AT,TOTAL,PC_GDP,51
2001,AT,TOTAL,PC_GDP,51.4
2002,AT,TOTAL,PC_GDP,51.1
2003,AT,TOTAL,PC_GDP,51.3
2004,AT,TOTAL,PC_GDP,53.7
2005,AT,TOTAL,PC_GDP,51.2
2006,AT,TOTAL,PC_GDP,50.4
2007,AT,TOTAL,PC_GDP,49.2
2008,AT,TOTAL,PC_GDP,49.9
2009,AT,TOTAL,PC_GDP,54.1
2010,AT,TOTAL,PC_GDP,52.8
2011,AT,TOTAL,PC_GDP,50.9
2012,AT,TOTAL,PC_GDP,51.2
2013,AT,TOTAL,PC_GDP,51.6
2014,AT,TOTAL,PC_GDP,52.4
2015,AT,TOTAL,PC_GDP,51.1
2016,AT,TOTAL,PC_GDP,50.1
2017,AT,TOTAL,PC_GDP,49.3
2018,AT,TOTAL,PC_GDP,48.8
2019,AT,TOTAL,PC_GDP,48.7
2020,AT,TOTAL,PC_GDP,56.8
2021,AT,TOTAL,PC_GDP,56.2
2022,AT,TOTAL,PC_GDP,53.2
2000,PL,TOTAL,PC_GDP,43
2001,PL,TOTAL,PC_GDP,44.8
2002,PL,TOTAL,PC_GDP,45.2
2003,PL,TOTAL,PC_GDP,45.6
2004,PL,TOTAL,PC_GDP,43.5
2005,PL,TOTAL,PC_GDP,44.2
2006,PL,TOTAL,PC_GDP,44.5
2007,PL,TOTAL,PC_GDP,42.9
2008,PL,TOTAL,PC_GDP,44.2
2009,PL,TOTAL,PC_GDP,45
2010,PL,TOTAL,PC_GDP,46.2
2011,PL,TOTAL,PC_GDP,44.4
2012,PL,TOTAL,PC_GDP,43.4
2013,PL,TOTAL,PC_GDP,43.4
2014,PL,TOTAL,PC_GDP,42.9
2015,PL,TOTAL,PC_GDP,41.7
2016,PL,TOTAL,PC_GDP,41.3
2017,PL,TOTAL,PC_GDP,41.4
2018,PL,TOTAL,PC_GDP,41.4
2019,PL,TOTAL,PC_GDP,41.9
2020,PL,TOTAL,PC_GDP,48.2
2021,PL,TOTAL,PC_GDP,44.1
2022,PL,TOTAL,PC_GDP,43.9
2000,PT,TOTAL,PC_GDP,42.7
2001,PT,TOTAL,PC_GDP,44.1
2002,PT,TOTAL,PC_GDP,43.7
2003,PT,TOTAL,PC_GDP,45.4
2004,PT,TOTAL,PC_GDP,46.2
2005,PT,TOTAL,PC_GDP,46.8
2006,PT,TOTAL,PC_GDP,45.2
2007,PT,TOTAL,PC_GDP,44.5
2008,PT,TOTAL,PC_GDP,45.3
2009,PT,TOTAL,PC_GDP,50.2
2010,PT,TOTAL,PC_GDP,51.9
2011,PT,TOTAL,PC_GDP,50
2012,PT,TOTAL,PC_GDP,48.9
2013,PT,TOTAL,PC_GDP,49.9
2014,PT,TOTAL,PC_GDP,51.7
2015,PT,TOTAL,PC_GDP,48.2
2016,PT,TOTAL,PC_GDP,44.8
2017,PT,TOTAL,PC_GDP,45.4
2018,PT,TOTAL,PC_GDP,43.2
2019,PT,TOTAL,PC_GDP,42.5
2020,PT,TOTAL,PC_GDP,49.2
2021,PT,TOTAL,PC_GDP,47.5
2022,PT,TOTAL,PC_GDP,44.1
2000,RO,TOTAL,PC_GDP,38.5
2001,RO,TOTAL,PC_GDP,36.3
2002,RO,TOTAL,PC_GDP,34.9
2003,RO,TOTAL,PC_GDP,34.3
2004,RO,TOTAL,PC_GDP,33.8
2005,RO,TOTAL,PC_GDP,33.5
2006,RO,TOTAL,PC_GDP,35.6
2007,RO,TOTAL,PC_GDP,37.5
2008,RO,TOTAL,PC_GDP,37.7
2009,RO,TOTAL,PC_GDP,39.9
2010,RO,TOTAL,PC_GDP,39.5
2011,RO,TOTAL,PC_GDP,38.1
2012,RO,TOTAL,PC_GDP,36.2
2013,RO,TOTAL,PC_GDP,36
2014,RO,TOTAL,PC_GDP,35.4
2015,RO,TOTAL,PC_GDP,36
2016,RO,TOTAL,PC_GDP,35
2017,RO,TOTAL,PC_GDP,33.6
2018,RO,TOTAL,PC_GDP,34.5
2019,RO,TOTAL,PC_GDP,36.3
2020,RO,TOTAL,PC_GDP,41.8
2021,RO,TOTAL,PC_GDP,40
2022,RO,TOTAL,PC_GDP,40
2000,SI,TOTAL,PC_GDP,47.5
2001,SI,TOTAL,PC_GDP,48.7
2002,SI,TOTAL,PC_GDP,47.3
2003,SI,TOTAL,PC_GDP,47.2
2004,SI,TOTAL,PC_GDP,46.6
2005,SI,TOTAL,PC_GDP,46.4
2006,SI,TOTAL,PC_GDP,45.5
2007,SI,TOTAL,PC_GDP,43.4
2008,SI,TOTAL,PC_GDP,45.1
2009,SI,TOTAL,PC_GDP,49.4
2010,SI,TOTAL,PC_GDP,50.2
2011,SI,TOTAL,PC_GDP,50.9
2012,SI,TOTAL,PC_GDP,49.4
2013,SI,TOTAL,PC_GDP,60.3
2014,SI,TOTAL,PC_GDP,50.8
2015,SI,TOTAL,PC_GDP,48.7
2016,SI,TOTAL,PC_GDP,46.2
2017,SI,TOTAL,PC_GDP,44.1
2018,SI,TOTAL,PC_GDP,43.5
2019,SI,TOTAL,PC_GDP,43.4
2020,SI,TOTAL,PC_GDP,51.4
2021,SI,TOTAL,PC_GDP,49.5
2022,SI,TOTAL,PC_GDP,47.2
2000,SK,TOTAL,PC_GDP,52.8
2001,SK,TOTAL,PC_GDP,45.3
2002,SK,TOTAL,PC_GDP,45.4
2003,SK,TOTAL,PC_GDP,40.4
2004,SK,TOTAL,PC_GDP,37.9
2005,SK,TOTAL,PC_GDP,39.7
2006,SK,TOTAL,PC_GDP,38.8
2007,SK,TOTAL,PC_GDP,36.4
2008,SK,TOTAL,PC_GDP,37
2009,SK,TOTAL,PC_GDP,44.4
2010,SK,TOTAL,PC_GDP,42.1
2011,SK,TOTAL,PC_GDP,41.4
2012,SK,TOTAL,PC_GDP,41.1
2013,SK,TOTAL,PC_GDP,42.5
2014,SK,TOTAL,PC_GDP,43.3
2015,SK,TOTAL,PC_GDP,45.6
2016,SK,TOTAL,PC_GDP,42.5
2017,SK,TOTAL,PC_GDP,39.5
2018,SK,TOTAL,PC_GDP,39.7
2019,SK,TOTAL,PC_GDP,40.5
2020,SK,TOTAL,PC_GDP,44.7
2021,SK,TOTAL,PC_GDP,45.3
2022,SK,TOTAL,PC_GDP,42.3
2000,FI,TOTAL,PC_GDP,47.9
2001,FI,TOTAL,PC_GDP,47.3
2002,FI,TOTAL,PC_GDP,48.5
2003,FI,TOTAL,PC_GDP,49.3
2004,FI,TOTAL,PC_GDP,49.1
2005,FI,TOTAL,PC_GDP,49
2006,FI,TOTAL,PC_GDP,48.1
2007,FI,TOTAL,PC_GDP,46.6
2008,FI,TOTAL,PC_GDP,47.9
2009,FI,TOTAL,PC_GDP,54.1
2010,FI,TOTAL,PC_GDP,53.9
2011,FI,TOTAL,PC_GDP,53.7
2012,FI,TOTAL,PC_GDP,55.4
2013,FI,TOTAL,PC_GDP,56.8
2014,FI,TOTAL,PC_GDP,57.3
2015,FI,TOTAL,PC_GDP,56.5
2016,FI,TOTAL,PC_GDP,55.6
2017,FI,TOTAL,PC_GDP,53.6
2018,FI,TOTAL,PC_GDP,53.4
2019,FI,TOTAL,PC_GDP,53.3
2020,FI,TOTAL,PC_GDP,57.2
2021,FI,TOTAL,PC_GDP,55.8
2022,FI,TOTAL,PC_GDP,53.3
2000,SE,TOTAL,PC_GDP,53.1
2001,SE,TOTAL,PC_GDP,52.6
2002,SE,TOTAL,PC_GDP,53.6
2003,SE,TOTAL,PC_GDP,53.9
2004,SE,TOTAL,PC_GDP,52.7
2005,SE,TOTAL,PC_GDP,52.2
2006,SE,TOTAL,PC_GDP,51.1
2007,SE,TOTAL,PC_GDP,49.4
2008,SE,TOTAL,PC_GDP,50.4
2009,SE,TOTAL,PC_GDP,52.7
2010,SE,TOTAL,PC_GDP,50.8
2011,SE,TOTAL,PC_GDP,50.2
