TIME,GEO,SEX,AGE,ACL00,FREQUENC,VALUE
2015,BE,T,Y25-34,AC52A,NM12,10.8
2022,BE,T,Y25-34,AC52A,NM12,15.7
2006,BG,T,Y25-34,AC52A,NM12,30.2
2015,BG,T,Y25-34,AC52A,NM12,21.4
2022,BG,T,Y25-34,AC52A,NM12,52.2
2006,CZ,T,Y25-34,AC52A,NM12,5.3
2015,CZ,T,Y25-34,AC52A,NM12,6.6
2022,CZ,T,Y25-34,AC52A,NM12,19.9
2006,DK,T,Y25-34,AC52A,NM12,3.3
2015,DK,T,Y25-34,AC52A,NM12,3.3
2022,DK,T,Y25-34,AC52A,NM12,13.8
2006,DE,T,Y25-34,AC52A,NM12,8.5
2015,DE,T,Y25-34,AC52A,NM12,7.2
2006,EE,T,Y25-34,AC52A,NM12,6.2
2015,EE,T,Y25-34,AC52A,NM12,5
2022,EE,T,Y25-34,AC52A,NM12,15.8
2006,IE,T,Y25-34,AC52A,NM12,37.3
2015,IE,T,Y25-34,AC52A,NM12,8.7
2022,IE,T,Y25-34,AC52A,NM12,19
2006,EL,T,Y25-34,AC52A,NM12,12
2015,EL,T,Y25-34,AC52A,NM12,18.9
2022,EL,T,Y25-34,AC52A,NM12,33.6
2006,ES,T,Y25-34,AC52A,NM12,10.9
2015,ES,T,Y25-34,AC52A,NM12,11.1
2022,ES,T,Y25-34,AC52A,NM12,15.7
2006,FR,T,Y25-34,AC52A,NM12,7.8
2015,FR,T,Y25-34,AC52A,NM12,4.6
2022,FR,T,Y25-34,AC52A,NM12,20.3
2015,HR,T,Y25-34,AC52A,NM12,16.9
2022,HR,T,Y25-34,AC52A,NM12,30.8
2006,IT,T,Y25-34,AC52A,NM12,10.6
2015,IT,T,Y25-34,AC52A,NM12,17.6
2022,IT,T,Y25-34,AC52A,NM12,28.7
2006,CY,T,Y25-34,AC52A,NM12,16
2015,CY,T,Y25-34,AC52A,NM12,18.6
2022,CY,T,Y25-34,AC52A,NM12,43.5
2006,LV,T,Y25-34,AC52A,NM12,7.7
2015,LV,T,Y25-34,AC52A,NM12,6
2022,LV,T,Y25-34,AC52A,NM12,28.9
2006,LT,T,Y25-34,AC52A,NM12,12.8
2015,LT,T,Y25-34,AC52A,NM12,6.9
2022,LT,T,Y25-34,AC52A,NM12,23.8
2006,LU,T,Y25-34,AC52A,NM12,3.6
2015,LU,T,Y25-34,AC52A,NM12,4
2022,LU,T,Y25-34,AC52A,NM12,8.4
2006,HU,T,Y25-34,AC52A,NM12,9.9
2015,HU,T,Y25-34,AC52A,NM12,11.5
2022,HU,T,Y25-34,AC52A,NM12,31.6
2006,MT,T,Y25-34,AC52A,NM12,22.2
2015,MT,T,Y25-34,AC52A,NM12,20.5
2022,MT,T,Y25-34,AC52A,NM12,39.6
2006,NL,T,Y25-34,AC52A,NM12,29.2
2015,NL,T,Y25-34,AC52A,NM12,4
2022,NL,T,Y25-34,AC52A,NM12,14.2
2006,AT,T,Y25-34,AC52A,NM12,9.6
2015,AT,T,Y25-34,AC52A,NM12,7.5
2022,AT,T,Y25-34,AC52A,NM12,18.8
2006,PL,T,Y25-34,AC52A,NM12,10.4
2015,PL,T,Y25-34,AC52A,NM12,11.9
2022,PL,T,Y25-34,AC52A,NM12,16.9
2006,PT,T,Y25-34,AC52A,NM12,5.1
2015,PT,T,Y25-34,AC52A,NM12,4.9
2022,PT,T,Y25-34,AC52A,NM12,12.8
2015,RO,T,Y25-34,AC52A,NM12,27.8
2022,RO,T,Y25-34,AC52A,NM12,35.1
2006,SI,T,Y25-34,AC52A,NM12,44.2
2015,SI,T,Y25-34,AC52A,NM12,9.1
2022,SI,T,Y25-34,AC52A,NM12,23.6
2006,SK,T,Y25-34,AC52A,NM12,9.1
2015,SK,T,Y25-34,AC52A,NM12,11.2
2022,SK,T,Y25-34,AC52A,NM12,31
2006,FI,T,Y25-34,AC52A,NM12,32.4
2015,FI,T,Y25-34,AC52A,NM12,2.3
2022,FI,T,Y25-34,AC52A,NM12,15.4
2006,SE,T,Y25-34,AC52A,NM12,31.4
2015,SE,T,Y25-34,AC52A,NM12,2.7
2022,SE,T,Y25-34,AC52A,NM12,21.6
2006,IS,T,Y25-34,AC52A,NM12,32.4
2015,IS,T,Y25-34,AC52A,NM12,2.9
2006,NO,T,Y25-34,AC52A,NM12,23.7
2015,NO,T,Y25-34,AC52A,NM12,3.4
2022,NO,T,Y25-34,AC52A,NM12,11.4
2015,CH,T,Y25-34,AC52A,NM12,1.8
2022,CH,T,Y25-34,AC52A,NM12,8.9
2006,UK,T,Y25-34,AC52A,NM12,4.4
2015,UK,T,Y25-34,AC52A,NM12,7.2
2015,ME,T,Y25-34,AC52A,NM12,31
2022,ME,T,Y25-34,AC52A,NM12,43.2
2015,MK,T,Y25-34,AC52A,NM12,47.2
2015,RS,T,Y25-34,AC52A,NM12,23
2022,RS,T,Y25-34,AC52A,NM12,28.9
2022,TR,T,Y25-34,AC52A,NM12,52.4
2006,BE,M,Y25-34,AC52A,NM12,7.1
2015,BE,M,Y25-34,AC52A,NM12,8.6
2022,BE,M,Y25-34,AC52A,NM12,13.4
2006,BG,M,Y25-34,AC52A,NM12,26.8
2015,BG,M,Y25-34,AC52A,NM12,18.9
2022,BG,M,Y25-34,AC52A,NM12,45.5
2006,CZ,M,Y25-34,AC52A,NM12,2.7
2015,CZ,M,Y25-34,AC52A,NM12,7.2
2022,CZ,M,Y25-34,AC52A,NM12,19.1
2006,DK,M,Y25-34,AC52A,NM12,3.3
2015,DK,M,Y25-34,AC52A,NM12,1.4
2022,DK,M,Y25-34,AC52A,NM12,17
2006,DE,M,Y25-34,AC52A,NM12,9.6
2015,DE,M,Y25-34,AC52A,NM12,6.7
2006,EE,M,Y25-34,AC52A,NM12,6.2
2015,EE,M,Y25-34,AC52A,NM12,5
2022,EE,M,Y25-34,AC52A,NM12,18.2
2006,IE,M,Y25-34,AC52A,NM12,44
2015,IE,M,Y25-34,AC52A,NM12,9.3
2022,IE,M,Y25-34,AC52A,NM12,20.5
2006,EL,M,Y25-34,AC52A,NM12,9.7
2015,EL,M,Y25-34,AC52A,NM12,20.3
2022,EL,M,Y25-34,AC52A,NM12,33.1
2006,ES,M,Y25-34,AC52A,NM12,9.7
2015,ES,M,Y25-34,AC52A,NM12,10.2
2022,ES,M,Y25-34,AC52A,NM12,13.9
2006,FR,M,Y25-34,AC52A,NM12,6.7
2015,FR,M,Y25-34,AC52A,NM12,4.8
2022,FR,M,Y25-34,AC52A,NM12,20.7
2015,HR,M,Y25-34,AC52A,NM12,18.4
2022,HR,M,Y25-34,AC52A,NM12,39.2
2006,IT,M,Y25-34,AC52A,NM12,9.8
2015,IT,M,Y25-34,AC52A,NM12,15.4
2022,IT,M,Y25-34,AC52A,NM12,28.8
2006,CY,M,Y25-34,AC52A,NM12,17.4
2015,CY,M,Y25-34,AC52A,NM12,19.9
2022,CY,M,Y25-34,AC52A,NM12,41.6
2006,LV,M,Y25-34,AC52A,NM12,10.5
2015,LV,M,Y25-34,AC52A,NM12,6.4
2022,LV,M,Y25-34,AC52A,NM12,25.6
2006,LT,M,Y25-34,AC52A,NM12,15
2015,LT,M,Y25-34,AC52A,NM12,7.6
2022,LT,M,Y25-34,AC52A,NM12,23.7
2006,LU,M,Y25-34,AC52A,NM12,2.5
2015,LU,M,Y25-34,AC52A,NM12,4
2022,LU,M,Y25-34,AC52A,NM12,8.1
2006,HU,M,Y25-34,AC52A,NM12,11.7
2015,HU,M,Y25-34,AC52A,NM12,8.6
2022,HU,M,Y25-34,AC52A,NM12,30.5
2006,MT,M,Y25-34,AC52A,NM12,25.7
2015,MT,M,Y25-34,AC52A,NM12,15.3
2022,MT,M,Y25-34,AC52A,NM12,37.5
2006,NL,M,Y25-34,AC52A,NM12,26.2
2015,NL,M,Y25-34,AC52A,NM12,1.1
2022,NL,M,Y25-34,AC52A,NM12,13.6
2006,AT,M,Y25-34,AC52A,NM12,10.6
2015,AT,M,Y25-34,AC52A,NM12,7.6
2022,AT,M,Y25-34,AC52A,NM12,18.4
2006,PL,M,Y25-34,AC52A,NM12,11.2
2015,PL,M,Y25-34,AC52A,NM12,11.3
2022,PL,M,Y25-34,AC52A,NM12,17
2006,PT,M,Y25-34,AC52A,NM12,5.5
2015,PT,M,Y25-34,AC52A,NM12,5.2
2022,PT,M,Y25-34,AC52A,NM12,8.4
2015,RO,M,Y25-34,AC52A,NM12,26.5
2022,RO,M,Y25-34,AC52A,NM12,35.9
2006,SI,M,Y25-34,AC52A,NM12,43.9
2015,SI,M,Y25-34,AC52A,NM12,8.5
2022,SI,M,Y25-34,AC52A,NM12,28.5
2006,SK,M,Y25-34,AC52A,NM12,6.8
2015,SK,M,Y25-34,AC52A,NM12,11
2022,SK,M,Y25-34,AC52A,NM12,25.7
2006,FI,M,Y25-34,AC52A,NM12,34.2
2015,FI,M,Y25-34,AC52A,NM12,2.7
2022,FI,M,Y25-34,AC52A,NM12,15.3
2006,SE,M,Y25-34,AC52A,NM12,27.8
2015,SE,M,Y25-34,AC52A,NM12,2.8
2022,SE,M,Y25-34,AC52A,NM12,20.8
2006,IS,M,Y25-34,AC52A,NM12,27.2
2015,IS,M,Y25-34,AC52A,NM12,1.3
2006,NO,M,Y25-34,AC52A,NM12,20.5
2015,NO,M,Y25-34,AC52A,NM12,2.4
2022,NO,M,Y25-34,AC52A,NM12,12.4
2015,CH,M,Y25-34,AC52A,NM12,1.6
2022,CH,M,Y25-34,AC52A,NM12,7.1
2006,UK,M,Y25-34,AC52A,NM12,4.7
2015,UK,M,Y25-34,AC52A,NM12,7.8
2015,ME,M,Y25-34,AC52A,NM12,35.9
2022,ME,M,Y25-34,AC52A,NM12,46.8
2015,MK,M,Y25-34,AC52A,NM12,49
2015,RS,M,Y25-34,AC52A,NM12,21.4
2022,RS,M,Y25-34,AC52A,NM12,29.7
2022,TR,M,Y25-34,AC52A,NM12,55.1
2006,BE,F,Y25-34,AC52A,NM12,8.5
2015,BE,F,Y25-34,AC52A,NM12,12.4
2022,BE,F,Y25-34,AC52A,NM12,17.4
2006,BG,F,Y25-34,AC52A,NM12,31.9
2015,BG,F,Y25-34,AC52A,NM12,23.1
2022,BG,F,Y25-34,AC52A,NM12,56.4
2006,CZ,F,Y25-34,AC52A,NM12,8
2015,CZ,F,Y25-34,AC52A,NM12,6.3
2022,CZ,F,Y25-34,AC52A,NM12,20.3
2006,DK,F,Y25-34,AC52A,NM12,3.3
2015,DK,F,Y25-34,AC52A,NM12,4.7
2022,DK,F,Y25-34,AC52A,NM12,11.1
2006,DE,F,Y25-34,AC52A,NM12,7.4
2015,DE,F,Y25-34,AC52A,NM12,7.7
2006,EE,F,Y25-34,AC52A,NM12,6.1
2015,EE,F,Y25-34,AC52A,NM12,4.9
2022,EE,F,Y25-34,AC52A,NM12,14.1
2006,IE,F,Y25-34,AC52A,NM12,31.7
2015,IE,F,Y25-34,AC52A,NM12,8.3
2022,IE,F,Y25-34,AC52A,NM12,17.6
2006,EL,F,Y25-34,AC52A,NM12,13.8
2015,EL,F,Y25-34,AC52A,NM12,18
2022,EL,F,Y25-34,AC52A,NM12,33.9
2006,ES,F,Y25-34,AC52A,NM12,11.9
2015,ES,F,Y25-34,AC52A,NM12,11.7
2022,ES,F,Y25-34,AC52A,NM12,17.2
2006,FR,F,Y25-34,AC52A,NM12,8.7
2015,FR,F,Y25-34,AC52A,NM12,4.5
2022,FR,F,Y25-34,AC52A,NM12,20
2015,HR,F,Y25-34,AC52A,NM12,16
2022,HR,F,Y25-34,AC52A,NM12,25.4
2006,IT,F,Y25-34,AC52A,NM12,11.1
2015,IT,F,Y25-34,AC52A,NM12,19.1
2022,IT,F,Y25-34,AC52A,NM12,28.6
2006,CY,F,Y25-34,AC52A,NM12,15
2015,CY,F,Y25-34,AC52A,NM12,17.8
2022,CY,F,Y25-34,AC52A,NM12,44.8
2006,LV,F,Y25-34,AC52A,NM12,6.4
2015,LV,F,Y25-34,AC52A,NM12,5.7
2022,LV,F,Y25-34,AC52A,NM12,30.9
2006,LT,F,Y25-34,AC52A,NM12,11.2
2015,LT,F,Y25-34,AC52A,NM12,6.4
2022,LT,F,Y25-34,AC52A,NM12,23.8
2006,LU,F,Y25-34,AC52A,NM12,4.5
2015,LU,F,Y25-34,AC52A,NM12,4
2022,LU,F,Y25-34,AC52A,NM12,8.7
2006,HU,F,Y25-34,AC52A,NM12,8.8
2015,HU,F,Y25-34,AC52A,NM12,13.7
2022,HU,F,Y25-34,AC52A,NM12,32.6
2006,MT,F,Y25-34,AC52A,NM12,18.2
2015,MT,F,Y25-34,AC52A,NM12,25
2022,MT,F,Y25-34,AC52A,NM12,41.4
2006,NL,F,Y25-34,AC52A,NM12,32.1
2015,NL,F,Y25-34,AC52A,NM12,6.7
2022,NL,F,Y25-34,AC52A,NM12,14.9
2006,AT,F,Y25-34,AC52A,NM12,8.8
2015,AT,F,Y25-34,AC52A,NM12,7.5
2022,AT,F,Y25-34,AC52A,NM12,19
2006,PL,F,Y25-34,AC52A,NM12,9.9
2015,PL,F,Y25-34,AC52A,NM12,12.4
2022,PL,F,Y25-34,AC52A,NM12,16.8
2006,PT,F,Y25-34,AC52A,NM12,4.9
2015,PT,F,Y25-34,AC52A,NM12,4.7
2022,PT,F,Y25-34,AC52A,NM12,15.7
2015,RO,F,Y25-34,AC52A,NM12,29.1
2022,RO,F,Y25-34,AC52A,NM12,34.4
2006,SI,F,Y25-34,AC52A,NM12,44.4
2015,SI,F,Y25-34,AC52A,NM12,9.5
2022,SI,F,Y25-34,AC52A,NM12,20.3
2006,SK,F,Y25-34,AC52A,NM12,10.8
2015,SK,F,Y25-34,AC52A,NM12,11.2
2022,SK,F,Y25-34,AC52A,NM12,34.2
2006,FI,F,Y25-34,AC52A,NM12,31.3
2015,FI,F,Y25-34,AC52A,NM12,2.1
2022,FI,F,Y25-34,AC52A,NM12,15.4
2006,SE,F,Y25-34,AC52A,NM12,34.3
2015,SE,F,Y25-34,AC52A,NM12,2.7
2022,SE,F,Y25-34,AC52A,NM12,22.1
2006,IS,F,Y25-34,AC52A,NM12,36
2015,IS,F,Y25-34,AC52A,NM12,4
2006,NO,F,Y25-34,AC52A,NM12,26.4
