TIME,GEO,DEG_URB,VALUE
2016,Lithuania,Cities,5.3
2017,Lithuania,Cities,13.1
2018,Lithuania,Cities,5
2019,Lithuania,Cities,4.9
2020,Lithuania,Cities,4.5
2023,Lithuania,Cities,4.2
2003,Luxembourg,Cities,20.6
2004,Luxembourg,Cities,16.9
2005,Luxembourg,Cities,18.4
2006,Luxembourg,Cities,16.6
2007,Luxembourg,Cities,13.6
2008,Luxembourg,Cities,15.4
2009,Luxembourg,Cities,13.5
2010,Luxembourg,Cities,15
2011,Luxembourg,Cities,15.2
2012,Luxembourg,Cities,15.9
2013,Luxembourg,Cities,14.3
2014,Luxembourg,Cities,18.4
2015,Luxembourg,Cities,20.4
2016,Luxembourg,Cities,14.1
2017,Luxembourg,Cities,16.4
2018,Luxembourg,Cities,19
2019,Luxembourg,Cities,14.8
2020,Luxembourg,Cities,12.5
2023,Luxembourg,Cities,19.5
2005,Hungary,Cities,22.1
2006,Hungary,Cities,16.4
2007,Hungary,Cities,17.7
2008,Hungary,Cities,14.9
2009,Hungary,Cities,14.9
2010,Hungary,Cities,13.5
2011,Hungary,Cities,13.5
2012,Hungary,Cities,10.5
2013,Hungary,Cities,14
2014,Hungary,Cities,16.9
2015,Hungary,Cities,11.3
2016,Hungary,Cities,9.8
2017,Hungary,Cities,8.8
2018,Hungary,Cities,5.6
2019,Hungary,Cities,5.1
2020,Hungary,Cities,5.2
2023,Hungary,Cities,5
2005,Malta,Cities,14.5
2006,Malta,Cities,13.3
2007,Malta,Cities,10.7
2008,Malta,Cities,10.1
2009,Malta,Cities,11.3
2010,Malta,Cities,11.2
2011,Malta,Cities,13.7
2012,Malta,Cities,13.3
2013,Malta,Cities,13.4
2014,Malta,Cities,12.7
2015,Malta,Cities,12
2016,Malta,Cities,10.9
2017,Malta,Cities,10.6
2018,Malta,Cities,13.4
2019,Malta,Cities,14.7
2020,Malta,Cities,12.5
2023,Malta,Cities,8.5
2005,Netherlands,Cities,22.4
2006,Netherlands,Cities,20.2
2007,Netherlands,Cities,21.3
2008,Netherlands,Cities,18
2009,Netherlands,Cities,25.5
2010,Netherlands,Cities,20.3
2011,Netherlands,Cities,22.2
2012,Netherlands,Cities,23.1
2013,Netherlands,Cities,22.9
2014,Netherlands,Cities,24
2015,Netherlands,Cities,23
2016,Netherlands,Cities,21.6
2017,Netherlands,Cities,19.1
2018,Netherlands,Cities,22.2
2019,Netherlands,Cities,20.7
2020,Netherlands,Cities,20.2
2023,Netherlands,Cities,21.4
2004,Austria,Cities,19.2
2005,Austria,Cities,22.9
2006,Austria,Cities,21.3
2007,Austria,Cities,19.8
2008,Austria,Cities,21.1
2009,Austria,Cities,25.7
2010,Austria,Cities,22.3
2011,Austria,Cities,20.7
2012,Austria,Cities,20.9
2013,Austria,Cities,21.2
2014,Austria,Cities,24.6
2015,Austria,Cities,22.6
2016,Austria,Cities,22
2017,Austria,Cities,19.4
2018,Austria,Cities,16.8
2019,Austria,Cities,16.4
2020,Austria,Cities,11.4
2023,Austria,Cities,14.4
2005,Poland,Cities,19.7
2006,Poland,Cities,17.1
2007,Poland,Cities,15.2
2008,Poland,Cities,13.3
2009,Poland,Cities,12.3
2010,Poland,Cities,12.3
2011,Poland,Cities,11.7
2012,Poland,Cities,12.5
2013,Poland,Cities,12.8
2014,Poland,Cities,12.4
2015,Poland,Cities,12.1
2016,Poland,Cities,10.9
2017,Poland,Cities,10.9
2018,Poland,Cities,8.3
2019,Poland,Cities,8.8
2023,Poland,Cities,6.1
2004,Portugal,Cities,22.9
2005,Portugal,Cities,23.8
2006,Portugal,Cities,21.3
2007,Portugal,Cities,21.5
2008,Portugal,Cities,19.3
2009,Portugal,Cities,23.6
2010,Portugal,Cities,18.9
2011,Portugal,Cities,17.8
2012,Portugal,Cities,16.9
2013,Portugal,Cities,19.1
2014,Portugal,Cities,16
2015,Portugal,Cities,14.3
2016,Portugal,Cities,10.7
2017,Portugal,Cities,11.1
2018,Portugal,Cities,9.3
2019,Portugal,Cities,9
2020,Portugal,Cities,8.7
2023,Portugal,Cities,10.2
2007,Romania,Cities,19.7
2008,Romania,Cities,19.4
2009,Romania,Cities,23.2
2010,Romania,Cities,22.3
2011,Romania,Cities,23.2
2012,Romania,Cities,18.9
2013,Romania,Cities,17.7
2014,Romania,Cities,18
2015,Romania,Cities,16.4
2016,Romania,Cities,20.1
2017,Romania,Cities,14.9
2018,Romania,Cities,14.6
2019,Romania,Cities,12.9
2020,Romania,Cities,11
2023,Romania,Cities,6.8
2005,Slovenia,Cities,27.9
2006,Slovenia,Cities,21.1
2007,Slovenia,Cities,22.1
2008,Slovenia,Cities,18
2009,Slovenia,Cities,25.1
2010,Slovenia,Cities,19
2011,Slovenia,Cities,17.7
2012,Slovenia,Cities,17.2
2013,Slovenia,Cities,17.2
2014,Slovenia,Cities,18.9
2015,Slovenia,Cities,16.2
2016,Slovenia,Cities,15.6
2017,Slovenia,Cities,14.1
2018,Slovenia,Cities,11.6
2019,Slovenia,Cities,12.4
2020,Slovenia,Cities,12.5
2023,Slovenia,Cities,10.9
2005,Slovakia,Cities,17.8
2006,Slovakia,Cities,17.8
2007,Slovakia,Cities,17.3
2008,Slovakia,Cities,17
2009,Slovakia,Cities,23.7
2010,Slovakia,Cities,19
2011,Slovakia,Cities,18.5
2012,Slovakia,Cities,15.6
2013,Slovakia,Cities,12.1
2014,Slovakia,Cities,13.3
2015,Slovakia,Cities,10.6
2016,Slovakia,Cities,9.5
2017,Slovakia,Cities,8.9
2018,Slovakia,Cities,6
2019,Slovakia,Cities,5.1
2020,Slovakia,Cities,5.3
2023,Slovakia,Cities,6
2004,Finland,Cities,27.1
2005,Finland,Cities,27.8
2006,Finland,Cities,24.6
2007,Finland,Cities,20.5
2008,Finland,Cities,21.1
2009,Finland,Cities,23.5
2010,Finland,Cities,16.3
2011,Finland,Cities,14.7
2012,Finland,Cities,13.8
2013,Finland,Cities,12.7
2014,Finland,Cities,10
2015,Finland,Cities,11
2016,Finland,Cities,9
2017,Finland,Cities,9.4
2018,Finland,Cities,10.7
2019,Finland,Cities,9.1
2020,Finland,Cities,10.8
2023,Finland,Cities,16.7
2004,Sweden,Cities,13.9
2005,Sweden,Cities,14.6
2006,Sweden,Cities,21.8
2007,Sweden,Cities,17.2
2008,Sweden,Cities,19.3
2009,Sweden,Cities,19.3
2010,Sweden,Cities,16.3
2011,Sweden,Cities,19
2012,Sweden,Cities,18.3
2013,Sweden,Cities,14.2
2014,Sweden,Cities,15.5
2015,Sweden,Cities,15
2016,Sweden,Cities,17.5
2017,Sweden,Cities,16.9
2018,Sweden,Cities,17.8
2019,Sweden,Cities,17.7
2020,Sweden,Cities,19.9
2023,Sweden,Cities,13.3
2004,Iceland,Cities,5
2005,Iceland,Cities,4.8
2006,Iceland,Cities,3.3
2007,Iceland,Cities,4.4
2008,Iceland,Cities,4.3
2009,Iceland,Cities,5.4
2010,Iceland,Cities,5
2011,Iceland,Cities,3.2
2012,Iceland,Cities,4.4
2013,Iceland,Cities,2.6
2014,Iceland,Cities,2.5
2015,Iceland,Cities,2.8
2016,Iceland,Cities,2.8
2017,Iceland,Cities,2.3
2018,Iceland,Cities,3.6
2019,Iceland,Cities,3.3
2004,Norway,Cities,7.4
2005,Norway,Cities,7
2006,Norway,Cities,4.9
2007,Norway,Cities,6.4
2008,Norway,Cities,6.8
2009,Norway,Cities,7.4
2010,Norway,Cities,7.9
2011,Norway,Cities,6.7
2012,Norway,Cities,8
2013,Norway,Cities,6.1
2015,Norway,Cities,9.8
2016,Norway,Cities,7.8
2017,Norway,Cities,6.2
2018,Norway,Cities,7.4
2019,Norway,Cities,7.6
2020,Norway,Cities,6.4
2023,Norway,Cities,9.5
2007,Switzerland,Cities,16.9
2008,Switzerland,Cities,15.8
2009,Switzerland,Cities,16.6
2010,Switzerland,Cities,18.8
2011,Switzerland,Cities,15.6
2012,Switzerland,Cities,24.2
2013,Switzerland,Cities,21.3
2014,Switzerland,Cities,20.4
2015,Switzerland,Cities,17.9
2016,Switzerland,Cities,17.4
2017,Switzerland,Cities,13.1
2018,Switzerland,Cities,11.4
2019,Switzerland,Cities,11.3
2020,Switzerland,Cities,11.8
2005,United Kingdom,Cities,33.6
2006,United Kingdom,Cities,31
2007,United Kingdom,Cities,30.2
2008,United Kingdom,Cities,29
2009,United Kingdom,Cities,29.2
2010,United Kingdom,Cities,27.2
2011,United Kingdom,Cities,25.3
2012,United Kingdom,Cities,24.2
2013,United Kingdom,Cities,22.1
2014,United Kingdom,Cities,20.4
2015,United Kingdom,Cities,20.7
2016,United Kingdom,Cities,21.5
2017,United Kingdom,Cities,26.1
2018,United Kingdom,Cities,30.8
2010,North Macedonia,Cities,10.2
2011,North Macedonia,Cities,9.8
2016,North Macedonia,Cities,9.5
2017,North Macedonia,Cities,6
2018,North Macedonia,Cities,8.6
2019,North Macedonia,Cities,7.1
2020,North Macedonia,Cities,7.8
2017,Albania,Cities,0.6
2018,Albania,Cities,0.5
2019,Albania,Cities,1.3
2020,Albania,Cities,1.1
2013,Serbia,Cities,29.3
2014,Serbia,Cities,31.4
2015,Serbia,Cities,26.4
2016,Serbia,Cities,29
2017,Serbia,Cities,21.1
2018,Serbia,Cities,20.6
2019,Serbia,Cities,16.7
2020,Serbia,Cities,16.2
2003,Belgium,Towns and suburbs,12.9
2004,Belgium,Towns and suburbs,13
2005,Belgium,Towns and suburbs,9.3
2006,Belgium,Towns and suburbs,11.2
2007,Belgium,Towns and suburbs,9.8
2008,Belgium,Towns and suburbs,7.5
2009,Belgium,Towns and suburbs,10.8
2010,Belgium,Towns and suburbs,11.3
2011,Belgium,Towns and suburbs,8.4
2012,Belgium,Towns and suburbs,10.7
2013,Belgium,Towns and suburbs,14.5
2014,Belgium,Towns and suburbs,12.5
2015,Belgium,Towns and suburbs,12.2
2016,Belgium,Towns and suburbs,9.2
2017,Belgium,Towns and suburbs,8.9
2018,Belgium,Towns and suburbs,7.7
2019,Belgium,Towns and suburbs,10.1
2020,Belgium,Towns and suburbs,6.6
2023,Belgium,Towns and suburbs,8.3
2005,Bulgaria,Towns and suburbs,30.3
2006,Bulgaria,Towns and suburbs,30.3
2007,Bulgaria,Towns and suburbs,22.9
2008,Bulgaria,Towns and suburbs,31.2
2009,Bulgaria,Towns and suburbs,26
2010,Bulgaria,Towns and suburbs,28.5
2011,Bulgaria,Towns and suburbs,31.6
2012,Bulgaria,Towns and suburbs,22.4
2013,Bulgaria,Towns and suburbs,24.3
2014,Bulgaria,Towns and suburbs,25.8
2015,Bulgaria,Towns and suburbs,22.1
2016,Bulgaria,Towns and suburbs,20.2
2017,Bulgaria,Towns and suburbs,18.5
2018,Bulgaria,Towns and suburbs,15.6
2019,Bulgaria,Towns and suburbs,13.5
2020,Bulgaria,Towns and suburbs,13
2023,Bulgaria,Towns and suburbs,11
2005,Czechia,Towns and suburbs,16.6
2006,Czechia,Towns and suburbs,13.4
2007,Czechia,Towns and suburbs,11.3
2008,Czechia,Towns and suburbs,12.3
2009,Czechia,Towns and suburbs,13.8
2010,Czechia,Towns and suburbs,11.3
2011,Czechia,Towns and suburbs,12.2
2012,Czechia,Towns and suburbs,13
2013,Czechia,Towns and suburbs,15.8
2014,Czechia,Towns and suburbs,13.7
2015,Czechia,Towns and suburbs,12.8
2016,Czechia,Towns and suburbs,12.1
2017,Czechia,Towns and suburbs,9
2018,Czechia,Towns and suburbs,8.5
2019,Czechia,Towns and suburbs,7.5
2020,Czechia,Towns and suburbs,5.5
2023,Czechia,Towns and suburbs,6
2003,Denmark,Towns and suburbs,9
2004,Denmark,Towns and suburbs,14.5
2005,Denmark,Towns and suburbs,12.8
2006,Denmark,Towns and suburbs,13.4
2007,Denmark,Towns and suburbs,11.5
2008,Denmark,Towns and suburbs,14.5
2009,Denmark,Towns and suburbs,12.8
2010,Denmark,Towns and suburbs,11.8
2011,Denmark,Towns and suburbs,12.9
2012,Denmark,Towns and suburbs,8.1
2013,Denmark,Towns and suburbs,6.9
2014,Denmark,Towns and suburbs,6.4
2015,Denmark,Towns and suburbs,6.1
2016,Denmark,Towns and suburbs,7.5
2017,Denmark,Towns and suburbs,6.5
2018,Denmark,Towns and suburbs,5.4
2019,Denmark,Towns and suburbs,4.9
2020,Denmark,Towns and suburbs,5.5
2023,Denmark,Towns and suburbs,5.2
2005,Germany,Towns and suburbs,5.8
2006,Germany,Towns and suburbs,7.1
2007,Germany,Towns and suburbs,7.1
2008,Germany,Towns and suburbs,7.1
2009,Germany,Towns and suburbs,6.5
2010,Germany,Towns and suburbs,6.9
2011,Germany,Towns and suburbs,8.4
2012,Germany,Towns and suburbs,9.2
2013,Germany,Towns and suburbs,10.5
2014,Germany,Towns and suburbs,9.7
2015,Germany,Towns and suburbs,10.3
2016,Germany,Towns and suburbs,11.2
2017,Germany,Towns and suburbs,10.6
2018,Germany,Towns and suburbs,9.2
2019,Germany,Towns and suburbs,9.7
2020,Germany,Towns and suburbs,5.2
2023,Germany,Towns and suburbs,7.3
2004,Estonia,Towns and suburbs,34.4
2005,Estonia,Towns and suburbs,22.7
2006,Estonia,Towns and suburbs,12.5
2007,Estonia,Towns and suburbs,32
2008,Estonia,Towns and suburbs,22
2009,Estonia,Towns and suburbs,6
2010,Estonia,Towns and suburbs,22.3
2011,Estonia,Towns and suburbs,9.9
2012,Estonia,Towns and suburbs,14.1
2013,Estonia,Towns and suburbs,11
2014,Estonia,Towns and suburbs,20.6
2015,Estonia,Towns and suburbs,16
2016,Estonia,Towns and suburbs,9.1
2017,Estonia,Towns and suburbs,4.7
2018,Estonia,Towns and suburbs,6.2
2019,Estonia,Towns and suburbs,2.7
2020,Estonia,Towns and suburbs,5.6
2023,Estonia,Towns and suburbs,2.5
2003,Ireland,Towns and suburbs,15.9
2004,Ireland,Towns and suburbs,16
2005,Ireland,Towns and suburbs,15.9
2006,Ireland,Towns and suburbs,19.9
2007,Ireland,Towns and suburbs,18
2008,Ireland,Towns and suburbs,15
2009,Ireland,Towns and suburbs,16
2010,Ireland,Towns and suburbs,10.2
2011,Ireland,Towns and suburbs,10.7
2012,Ireland,Towns and suburbs,9.6
2013,Ireland,Towns and suburbs,10.1
2014,Ireland,Towns and suburbs,10.7
2015,Ireland,Towns and suburbs,9.8
2016,Ireland,Towns and suburbs,10
2017,Ireland,Towns and suburbs,7.7
2018,Ireland,Towns and suburbs,9.6
2019,Ireland,Towns and suburbs,11.4
2020,Ireland,Towns and suburbs,10.7
2003,Greece,Towns and suburbs,14.7
2004,Greece,Towns and suburbs,0
2005,Greece,Towns and suburbs,17.8
2006,Greece,Towns and suburbs,14.3
2007,Greece,Towns and suburbs,15.5
2008,Greece,Towns and suburbs,14.8
2009,Greece,Towns and suburbs,18.2
2010,Greece,Towns and suburbs,19.5
2011,Greece,Towns and suburbs,25.7
2012,Greece,Towns and suburbs,15.7
2013,Greece,Towns and suburbs,23.7
2014,Greece,Towns and suburbs,13.8
2015,Greece,Towns and suburbs,13.3
2016,Greece,Towns and suburbs,11.4
2017,Greece,Towns and suburbs,12.6
2018,Greece,Towns and suburbs,12.1
2019,Greece,Towns and suburbs,16.4
2020,Greece,Towns and suburbs,17.8
2023,Greece,Towns and suburbs,16.7
2004,Spain,Towns and suburbs,15
2005,Spain,Towns and suburbs,16.7
2006,Spain,Towns and suburbs,16.5
2007,Spain,Towns and suburbs,15.7
2008,Spain,Towns and suburbs,12.3
2009,Spain,Towns and suburbs,14.7
2010,Spain,Towns and suburbs,10.9
2011,Spain,Towns and suburbs,11.3
2012,Spain,Towns and suburbs,8.5
2013,Spain,Towns and suburbs,10.2
2014,Spain,Towns and suburbs,8.4
2015,Spain,Towns and suburbs,7.2
2016,Spain,Towns and suburbs,9.2
2017,Spain,Towns and suburbs,5.2
2018,Spain,Towns and suburbs,7.7
2019,Spain,Towns and suburbs,7.2
2020,Spain,Towns and suburbs,12.1
2023,Spain,Towns and suburbs,10.9
2004,France,Towns and suburbs,16.9
2005,France,Towns and suburbs,13.2
2006,France,Towns and suburbs,11.7
2007,France,Towns and suburbs,11.9
2008,France,Towns and suburbs,11.3
2009,France,Towns and suburbs,10.4
2010,France,Towns and suburbs,11.2
2011,France,Towns and suburbs,10.1
2012,France,Towns and suburbs,14.1
2013,France,Towns and suburbs,15.1
2014,France,Towns and suburbs,12.6
2015,France,Towns and suburbs,13.4
2016,France,Towns and suburbs,13.9
2017,France,Towns and suburbs,14.3
2018,France,Towns and suburbs,13.7
2019,France,Towns and suburbs,14.7
2020,France,Towns and suburbs,15.4
2023,France,Towns and suburbs,13.3
2010,Croatia,Towns and suburbs,3.2
2011,Croatia,Towns and suburbs,3.1
2012,Croatia,Towns and suburbs,2.6
2013,Croatia,Towns and suburbs,1.1
2014,Croatia,Towns and suburbs,1.4
2015,Croatia,Towns and suburbs,2
2016,Croatia,Towns and suburbs,2.9
2017,Croatia,Towns and suburbs,2.6
2018,Croatia,Towns and suburbs,2.7
2019,Croatia,Towns and suburbs,3.1
2020,Croatia,Towns and suburbs,3.1
2023,Croatia,Towns and suburbs,1.4
2004,Italy,Towns and suburbs,8.1
2005,Italy,Towns and suburbs,7.9
2006,Italy,Towns and suburbs,7.9
2007,Italy,Towns and suburbs,9.1
2008,Italy,Towns and suburbs,7.9
2009,Italy,Towns and suburbs,10.1
2010,Italy,Towns and suburbs,7.4
2011,Italy,Towns and suburbs,10.8
2012,Italy,Towns and suburbs,11.7
2013,Italy,Towns and suburbs,13.4
2014,Italy,Towns and suburbs,15.9
2015,Italy,Towns and suburbs,14.9
2016,Italy,Towns and suburbs,11.5
2017,Italy,Towns and suburbs,10.5
2018,Italy,Towns and suburbs,9.4
2019,Italy,Towns and suburbs,7.5
2020,Italy,Towns and suburbs,6.8
2023,Italy,Towns and suburbs,4.5
2005,Cyprus,Towns and suburbs,6.1
2006,Cyprus,Towns and suburbs,9.2
2007,Cyprus,Towns and suburbs,12.6
2008,Cyprus,Towns and suburbs,7.3
2009,Cyprus,Towns and suburbs,11.5
2010,Cyprus,Towns and suburbs,10.1
2011,Cyprus,Towns and suburbs,16.2
2012,Cyprus,Towns and suburbs,18.2
2013,Cyprus,Towns and suburbs,17
2014,Cyprus,Towns and suburbs,13.3
2015,Cyprus,Towns and suburbs,18.2
2016,Cyprus,Towns and suburbs,6.6
2017,Cyprus,Towns and suburbs,10
2018,Cyprus,Towns and suburbs,14.2
2019,Cyprus,Towns and suburbs,10.9
2020,Cyprus,Towns and suburbs,16.2
2023,Cyprus,Towns and suburbs,7.4
2005,Latvia,Towns and suburbs,11.9
2006,Latvia,Towns and suburbs,3.5
2007,Latvia,Towns and suburbs,18.9
2008,Latvia,Towns and suburbs,17.1
2009,Latvia,Towns and suburbs,11.4
2010,Latvia,Towns and suburbs,2.5
2011,Latvia,Towns and suburbs,1.5
2012,Latvia,Towns and suburbs,7.7
2013,Latvia,Towns and suburbs,14.8
2014,Latvia,Towns and suburbs,11.3
2015,Latvia,Towns and suburbs,5.3
2016,Latvia,Towns and suburbs,6.3
2017,Latvia,Towns and suburbs,5.7
2018,Latvia,Towns and suburbs,3.1
2019,Latvia,Towns and suburbs,4.5
2020,Latvia,Towns and suburbs,2.9
2023,Latvia,Towns and suburbs,3.4
2012,Lithuania,Towns and suburbs,4
2013,Lithuania,Towns and suburbs,5.6
2014,Lithuania,Towns and suburbs,5.5
2015,Lithuania,Towns and suburbs,0
2016,Lithuania,Towns and suburbs,0
2017,Lithuania,Towns and suburbs,1.2
2018,Lithuania,Towns and suburbs,2
2019,Lithuania,Towns and suburbs,0.2
2020,Lithuania,Towns and suburbs,3
2023,Lithuania,Towns and suburbs,2.5
2003,Luxembourg,Towns and suburbs,18.6
2004,Luxembourg,Towns and suburbs,15.3
2005,Luxembourg,Towns and suburbs,13.5
2006,Luxembourg,Towns and suburbs,7.5
2007,Luxembourg,Towns and suburbs,7.2
